case_index,title,industry,status,selected_at,used_at,last_run_at,session_url,share_url,isCompleted,completionStatus,completionError,error
12000,MedTech Demand in the Era of Capacity-Constrained Health Systems,medical_devices,used,2026-09-09T08:38:46.159003+00:00,2026-09-09T08:38:48.693959+00:00,2026-09-09T08:38:48.693959+00:00,https://eureka.patsnap.com/ai-search/sess_1688c0cab1764555?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=1fe74497460854cc7842e03c52b241d3&from=invite-eureakplg-result&content=,,,,
12001,The New MedTech Buyer: From Clinical Preference to Enterprise Value Committees,medical_devices,used,2026-09-09T08:38:48.695800+00:00,2026-09-09T08:38:50.125662+00:00,2026-09-09T08:38:50.125662+00:00,https://eureka.patsnap.com/ai-search/sess_6263e30cc1c04cab?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=d964307603a5904796e51e275831154f&from=invite-eureakplg-result&content=,,,,
12002,"Home, Retail, and Ambulatory Care as the Next MedTech Growth Frontier",medical_devices,used,2026-09-09T08:38:50.129815+00:00,2026-09-09T08:38:51.643650+00:00,2026-09-09T08:38:51.643650+00:00,https://eureka.patsnap.com/ai-search/sess_95ee5620b3684299?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=69ad1d9f9e8be9db9ea0f1fa90946fa3&from=invite-eureakplg-result&content=,,,,
12003,"Cybersecurity, Software Maintenance, and Trust as MedTech Boardroom Issues",medical_devices,used,2026-09-09T08:38:51.646896+00:00,2026-09-09T08:38:53.408464+00:00,2026-09-09T08:38:53.408464+00:00,https://eureka.patsnap.com/ai-search/sess_bdd49f9e55f64d1f?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=dfa430d8530ec6ad44f3c1557adfcea5&from=invite-eureakplg-result&content=,,,,
12004,"Global MedTech Localization: Market Access, Evidence, and Supply Footprint Choices",medical_devices,used,2026-09-09T08:38:53.411418+00:00,2026-09-09T08:38:54.786136+00:00,2026-09-09T08:38:54.786136+00:00,https://eureka.patsnap.com/ai-search/sess_454dd52bb7a541ce?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=22bbb7e66ae3fc1822ec997dbe7219b3&from=invite-eureakplg-result&content=,,,,
12005,MedTech Platforms and Installed-Base Economics Beyond Hardware Sales,medical_devices,used,2026-09-09T08:38:54.788917+00:00,2026-09-09T08:38:56.327015+00:00,2026-09-09T08:38:56.327015+00:00,https://eureka.patsnap.com/ai-search/sess_54d6a8d947374493?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=cabb7c9a84033ced39ac0889ae36a3d6&from=invite-eureakplg-result&content=,,,,
12006,Aging Populations and Chronic Care: The Next Portfolio Test for MedTech,medical_devices,used,2026-09-09T08:38:56.328789+00:00,2026-09-09T08:38:57.762172+00:00,2026-09-09T08:38:57.762172+00:00,https://eureka.patsnap.com/ai-search/sess_0791e490c70e48ed?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=e01323c9dd4ad69c87b56af2a2be516a&from=invite-eureakplg-result&content=,,,,
12007,Reimbursement Volatility and the MedTech Innovation Pipeline,medical_devices,used,2026-09-09T08:38:57.765473+00:00,2026-09-09T08:39:00.102888+00:00,2026-09-09T08:39:00.102888+00:00,https://eureka.patsnap.com/ai-search/sess_5579878cb69d4266?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=e9f9db3201016073432eb7a9d6fe783b&from=invite-eureakplg-result&content=,,,,
12008,Surgical and Imaging Segments: Premium Growth in a Cost-Disciplined Market,medical_devices,used,2026-09-09T08:39:00.105252+00:00,2026-09-09T08:39:01.441686+00:00,2026-09-09T08:39:01.441686+00:00,https://eureka.patsnap.com/ai-search/sess_c2b163bedc4b400c?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=e2ac3d1b29e61aeda2ddd5671837662e&from=invite-eureakplg-result&content=,,,,
12009,"MedTech Partnerships with Providers, Payers, and Digital Health Firms",medical_devices,used,2026-09-09T08:39:01.443199+00:00,2026-09-09T08:39:03.564404+00:00,2026-09-09T08:39:03.564404+00:00,https://eureka.patsnap.com/ai-search/sess_0e45a43e874f4589?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=8f04da5211f086b56c4b72ddf41eeef0&from=invite-eureakplg-result&content=,,,,
12010,Advanced Materials Demand Migration: From Volume Markets to Mission-Critical Applications,materials,used,2026-09-09T08:38:30.149352+00:00,2026-09-09T08:38:31.690571+00:00,2026-09-09T08:38:31.690571+00:00,https://eureka.patsnap.com/ai-search/sess_ea7a8fccae454698?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=41ca34cf6bc67285d32316c2d8a1623c&from=invite-eureakplg-result&content=,,,,
12011,"Critical Minerals, Substitution, and the New Materials Security Agenda",materials,used,2026-09-09T08:38:31.694367+00:00,2026-09-09T08:38:33.022781+00:00,2026-09-09T08:38:33.022781+00:00,https://eureka.patsnap.com/ai-search/sess_f251bce6aeca470a?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=537dc2107e9621a755bf4a2601119d07&from=invite-eureakplg-result&content=,,,,
12012,"Materials for AI Infrastructure: Power, Cooling, Packaging, and Reliability Demand",materials,used,2026-09-09T08:38:33.025313+00:00,2026-09-09T08:38:34.303966+00:00,2026-09-09T08:38:34.303966+00:00,https://eureka.patsnap.com/ai-search/sess_29d793127d2d40e7?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=6e4efb170bb3041e94cf07970e65ae6c&from=invite-eureakplg-result&content=,,,,
12013,Circular Materials and Carbon Data as Customer Qualification Requirements,materials,used,2026-09-09T08:38:34.306151+00:00,2026-09-09T08:38:35.609519+00:00,2026-09-09T08:38:35.609519+00:00,https://eureka.patsnap.com/ai-search/sess_a257976cb5f54307?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=b900c4de2c8b123353c6070889dd98cf&from=invite-eureakplg-result&content=,,,,
12014,Customer Co-Development and Long Qualification Cycles as Competitive Moats,materials,used,2026-09-09T08:38:35.614863+00:00,2026-09-09T08:38:37.645814+00:00,2026-09-09T08:38:37.645814+00:00,https://eureka.patsnap.com/ai-search/sess_6eae3c38e85b4c73?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=ad2cbdcb6d38ce57390c6aef593adafa&from=invite-eureakplg-result&content=,,,,
