row_no,triple_id,tag_set_id,case_no,role,industry,jtbd,question,description,topic_theme,question_intent,scope_level,role_perspective,industry_segment,jtbd_task,desired_output,entities,keywords,classification_rationale,industry_status,assumptions,research_instructions,content_category,generated_prompt,execution_status,session_url,share_url,brief_id,generation_id,taxonomy_version,generated_at
1,in_house_ip_legal__automotive__draft_review_patents,in_house_ip_legal__automotive__draft_review_patents__b05c0a4b7f2c,1,in_house_ip_legal,automotive,draft_review_patents,Which disclosure-support checks should determine whether automotive technical material is ready for a patent application draft?,"From a patent-prosecution perspective across the automotive industry, assess disclosure completeness and support relationships to guide the readiness decision and produce a disclosure-grounded application draft.",patent_prosecution,support_decision,industry,patent_prosecution,,application_drafting,application_draft,[],"[""disclosure sufficiency"",""written support"",""drafting readiness"",""technical disclosure"",""patent application""]",The question supports a prosecution-focused decision about whether an automotive technical disclosure has enough substantiated content to proceed with application drafting.,broad_scope,"[""No application-specific technical features are assumed, and substantive drafting would rely on a supplied technical disclosure.""]",,,,not_started,,,368a1fda-a283-4d1c-b920-170a0e1502b7,60b958fe-47f5-4c54-9611-497edbda7cd8,2.2.0,2026-09-12T01:08:17.019013+00:00
2,in_house_ip_legal__automotive__draft_review_patents,in_house_ip_legal__automotive__draft_review_patents__b05c0a4b7f2c,2,in_house_ip_legal,automotive,draft_review_patents,How should claim-category choices be evaluated when preparing patent application drafts for automotive inventions?,"From a patent-prosecution perspective across the automotive industry, compare the support needs and prosecution trade-offs of available claim categories to guide their selection and produce an application draft with appropriately organized claims and specification support.",patent_prosecution,support_decision,industry,patent_prosecution,,application_drafting,application_draft,[],"[""claim categories"",""claim strategy"",""specification support"",""prosecution trade-offs"",""automotive inventions""]",The research focuses on deciding among claim-category approaches while preserving the disclosure support needed in an automotive patent application draft.,broad_scope,"[""The relevant claim categories must be selected from the actual invention disclosure and applicable filing strategy."",""No particular automotive product, system architecture, or jurisdiction is assumed.""]",,,,not_started,,,b43742b8-7ce8-4f15-85c9-c3605c8bf4fe,60b958fe-47f5-4c54-9611-497edbda7cd8,2.2.0,2026-09-12T01:08:17.019013+00:00
3,in_house_ip_legal__automotive__draft_review_patents,in_house_ip_legal__automotive__draft_review_patents__b05c0a4b7f2c,3,in_house_ip_legal,automotive,draft_review_patents,Which factors should guide the selection of independent-claim scope in automotive patent application drafting?,"From a patent-prosecution perspective across the automotive industry, evaluate disclosure support, inventive distinctions, and foreseeable prosecution trade-offs to guide independent-claim scope and produce a supported patent application draft.",patent_prosecution,support_decision,industry,patent_prosecution,,application_drafting,application_draft,[],"[""independent claims"",""claim scope"",""inventive distinction"",""disclosure support"",""prosecution strategy""]",The question addresses the decision criteria for setting independent-claim breadth without presuming technical features or a specific automotive segment.,broad_scope,"[""Actual claim language and scope would be derived from supplied disclosure and relevant prior-art analysis."",""No project-specific acceptance threshold for claim breadth is assumed.""]",,,,not_started,,,ab1fee49-7a6b-43ba-a9b6-ffcbb5ed02a4,60b958fe-47f5-4c54-9611-497edbda7cd8,2.2.0,2026-09-12T01:08:17.019013+00:00
4,in_house_ip_legal__automotive__draft_review_patents,in_house_ip_legal__automotive__draft_review_patents__b05c0a4b7f2c,4,in_house_ip_legal,automotive,draft_review_patents,How should fallback positions be prioritized in patent application drafts covering automotive inventions?,"From a patent-prosecution perspective across the automotive industry, assess disclosed alternatives, feature combinations, and support dependencies to guide fallback-position priorities and produce an application draft with defensible dependent claims and embodiments.",patent_prosecution,support_decision,industry,patent_prosecution,,application_drafting,application_draft,[],"[""fallback positions"",""dependent claims"",""feature combinations"",""embodiment support"",""prosecution flexibility""]",The question supports decisions about organizing disclosure-backed fallback positions for later prosecution while remaining broad across automotive technologies.,broad_scope,"[""Fallback positions must be based only on alternatives and combinations present in the supplied technical disclosure."",""No specific prosecution outcome or examiner objection is presumed.""]",,,,not_started,,,5ee48590-f7df-4951-b9e2-00efa0b7f2f0,60b958fe-47f5-4c54-9611-497edbda7cd8,2.2.0,2026-09-12T01:08:17.019013+00:00
5,in_house_ip_legal__automotive__draft_review_patents,in_house_ip_legal__automotive__draft_review_patents__b05c0a4b7f2c,5,in_house_ip_legal,automotive,draft_review_patents,Which embodiment-planning criteria best support robust automotive patent application drafting?,"From a patent-prosecution perspective across the automotive industry, evaluate criteria for selecting and organizing disclosed embodiments to guide drafting coverage and produce an application draft with clear support for claims and alternatives.",patent_prosecution,support_decision,industry,patent_prosecution,,application_drafting,application_draft,[],"[""embodiment planning"",""drafting coverage"",""claim support"",""technical alternatives"",""specification structure""]","The research differs by focusing on decisions about embodiment selection and organization rather than claim form, terminology, or filing readiness.",broad_scope,"[""Embodiments and alternatives would be drawn exclusively from disclosure materials supplied for drafting."",""No particular component, material, manufacturing process, or system configuration is assumed.""]",,,,not_started,,,5146d4e6-62e3-4162-b6b3-4b839929564d,60b958fe-47f5-4c54-9611-497edbda7cd8,2.2.0,2026-09-12T01:08:17.019013+00:00
6,in_house_ip_legal__automotive__draft_review_patents,in_house_ip_legal__automotive__draft_review_patents__b05c0a4b7f2c,6,in_house_ip_legal,automotive,draft_review_patents,How should terminology and definition choices be assessed in automotive patent application drafts?,"From a patent-prosecution perspective across the automotive industry, examine clarity, consistency, disclosure support, and claim-construction risks to guide terminology decisions and produce a coherent patent application draft.",patent_prosecution,support_decision,industry,patent_prosecution,,application_drafting,application_draft,[],"[""patent terminology"",""definitions"",""claim construction"",""drafting consistency"",""clarity""]",The question supports prosecution-oriented decisions about language precision and consistency across claims and the specification in automotive applications.,broad_scope,"[""Technical terms and definitions must reflect the supplied disclosure and cannot be invented in advance."",""The analysis does not assume a particular jurisdictional claim-construction standard.""]",,,,not_started,,,dd6fbfaa-4b95-4a2c-8dee-8037002db2ad,60b958fe-47f5-4c54-9611-497edbda7cd8,2.2.0,2026-09-12T01:08:17.019013+00:00
7,in_house_ip_legal__automotive__draft_review_patents,in_house_ip_legal__automotive__draft_review_patents__b05c0a4b7f2c,7,in_house_ip_legal,automotive,draft_review_patents,Which drawing and description relationships should guide drafting decisions for automotive patent applications?,"From a patent-prosecution perspective across the automotive industry, assess how disclosed figures, reference labels, and narrative support should align to guide document organization and produce an internally consistent patent application draft.",patent_prosecution,support_decision,industry,patent_prosecution,,application_drafting,application_draft,[],"[""patent drawings"",""figure descriptions"",""reference labels"",""document consistency"",""narrative support""]",The research focuses on deciding how drawings and textual disclosure should support one another in a prosecution-ready automotive application draft.,broad_scope,"[""Any figures, labels, and illustrated relationships would come from supplied disclosure materials."",""No particular automotive structure, component arrangement, or drawing set is assumed.""]",,,,not_started,,,e0879608-2697-4dda-8dd4-b3649bec4c61,60b958fe-47f5-4c54-9611-497edbda7cd8,2.2.0,2026-09-12T01:08:17.019013+00:00
8,in_house_ip_legal__automotive__draft_review_patents,in_house_ip_legal__automotive__draft_review_patents__b05c0a4b7f2c,8,in_house_ip_legal,automotive,draft_review_patents,How should known technology and inventive distinctions be framed when drafting automotive patent applications?,"From a patent-prosecution perspective across the automotive industry, evaluate how disclosed technical context and substantiated distinctions should be presented to guide drafting choices and produce an application draft that supports later prosecution without unsupported admissions.",patent_prosecution,support_decision,industry,patent_prosecution,,application_drafting,application_draft,[],"[""background drafting"",""inventive distinctions"",""known technology"",""unsupported admissions"",""prosecution record""]",The question addresses decisions about contextualizing an invention and its distinctions while managing prosecution risks associated with unsupported characterizations.,broad_scope,"[""Statements about known technology and inventive distinctions require supplied disclosure and verified evidence."",""No prior-art conclusion, patentability finding, or company position is assumed.""]",,,,not_started,,,93d8d815-12e2-4ca4-b92c-fd8d1a32bc5c,60b958fe-47f5-4c54-9611-497edbda7cd8,2.2.0,2026-09-12T01:08:17.019013+00:00
9,in_house_ip_legal__automotive__draft_review_patents,in_house_ip_legal__automotive__draft_review_patents__b05c0a4b7f2c,9,in_house_ip_legal,automotive,draft_review_patents,Which enablement and written-description risks should influence automotive patent application drafting decisions?,"From a patent-prosecution perspective across the automotive industry, identify support gaps, functional-language risks, and areas requiring technical explanation to guide drafting decisions and produce an application draft with substantiated claim support.",patent_prosecution,support_decision,industry,patent_prosecution,,application_drafting,application_draft,[],"[""enablement"",""written description"",""functional language"",""support gaps"",""technical explanation""]",The question supports decisions about where an automotive application may need stronger disclosure to substantiate its intended claims during prosecution.,broad_scope,"[""Risk findings would depend on the supplied disclosure, intended claims, and applicable legal standards."",""No technical performance result, implementation detail, or jurisdiction-specific sufficiency conclusion is assumed.""]",,,,not_started,,,327b1ce8-0c86-4f91-ada5-7e8a8e181859,60b958fe-47f5-4c54-9611-497edbda7cd8,2.2.0,2026-09-12T01:08:17.019013+00:00
10,in_house_ip_legal__automotive__draft_review_patents,in_house_ip_legal__automotive__draft_review_patents__b05c0a4b7f2c,10,in_house_ip_legal,automotive,draft_review_patents,How should future prosecution flexibility be weighed when structuring automotive patent application drafts?,"From a patent-prosecution perspective across the automotive industry, compare specification organization, alternative disclosures, claim dependencies, and amendment support to guide structural choices and produce an application draft that preserves disclosure-backed prosecution options.",patent_prosecution,support_decision,industry,patent_prosecution,,application_drafting,application_draft,[],"[""prosecution flexibility"",""amendment support"",""claim dependencies"",""alternative disclosures"",""application structure""]",The research focuses on decisions that preserve supported amendment and claim-management options during later prosecution across the automotive industry.,broad_scope,"[""Any alternative language or amendment basis must be traceable to the supplied technical disclosure."",""No specific office action, filing jurisdiction, continuation strategy, or desired prosecution result is assumed.""]",,,,not_started,,,08cd7d84-963d-44f8-893f-b5c2ded0ffd4,60b958fe-47f5-4c54-9611-497edbda7cd8,2.2.0,2026-09-12T01:08:17.019013+00:00
