case_index,title,industry,status,selected_at,used_at,last_run_at,session_url,share_url,error
11000,2026-2030 Medical Devices Outlook: Growth Drivers and Competitive Reset,medical_devices,used,2026-09-09T02:58:07.228429+00:00,2026-09-09T02:58:09.966748+00:00,2026-09-09T02:58:09.966748+00:00,https://eureka.patsnap.com/ai-search/sess_be6715127f46438e?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=3ecaec5e46b8ba3e3c9a3de5242c9ab7&from=invite-eureakplg-result&content=,
11001,From Standalone Devices to Platform Services: How MedTech Business Models Are Shifting,medical_devices,used,2026-09-09T02:58:09.969454+00:00,2026-09-09T02:58:13.195103+00:00,2026-09-09T02:58:13.195103+00:00,https://eureka.patsnap.com/ai-search/sess_602512fefb4044e5?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=ab74b47dd43f57b7c853d7f937c5c748&from=invite-eureakplg-result&content=,
11002,"Global Expansion, Compliance, and Localization: The Next Opportunity Window for MedTech",medical_devices,used,2026-09-09T02:58:13.198963+00:00,2026-09-09T02:58:15.612203+00:00,2026-09-09T02:58:15.612203+00:00,https://eureka.patsnap.com/ai-search/sess_3463d8d3002945f9?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=915ac569e7c5522e193f888e8c3ab731&from=invite-eureakplg-result&content=,
11003,2026-2030 Advanced Materials Outlook: Demand Migration and High-Value Applications,materials,used,2026-09-09T02:58:00.008243+00:00,2026-09-09T02:58:02.387931+00:00,2026-09-09T02:58:02.387931+00:00,https://eureka.patsnap.com/ai-search/sess_ef498b3183c64d57?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=d65ef8613ff5d6ca110a4e29ce3fb032&from=invite-eureakplg-result&content=,
11004,Supply Security and Customer Co-Development as New Sources of Advantage in Materials,materials,used,2026-09-09T02:58:02.390594+00:00,2026-09-09T02:58:04.727182+00:00,2026-09-09T02:58:04.727182+00:00,https://eureka.patsnap.com/ai-search/sess_c542695f1b5b4b16?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=22f15617f6b365dc325358c6f93c79d8&from=invite-eureakplg-result&content=,
11005,"Low-Carbon Transition in Materials: Cost, Certification, and Premium Market Opportunities",materials,used,2026-09-09T02:58:04.729266+00:00,2026-09-09T02:58:07.225414+00:00,2026-09-09T02:58:07.225414+00:00,https://eureka.patsnap.com/ai-search/sess_097e54584fbc48c1?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=88c77da012b58c202d3d172626ac08ac&from=invite-eureakplg-result&content=,
11006,2026-2030 Automotive Industry Reset: From Volume Cycles to Software and Energy Ecosystems,automotive,used,2026-09-09T02:56:44.151039+00:00,2026-09-09T02:56:46.777287+00:00,2026-09-09T02:56:46.777287+00:00,https://eureka.patsnap.com/ai-search/sess_a100a8d07f164090?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=0045f9e947c41008758d35cf390f722a&from=invite-eureakplg-result&content=,
11007,Regionalized Automotive Supply Chains and the Evolution of Automaker Profit Models,automotive,used,2026-09-09T02:56:46.778312+00:00,2026-09-09T02:56:49.275439+00:00,2026-09-09T02:56:49.275439+00:00,https://eureka.patsnap.com/ai-search/sess_e247b15863334701?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=a6a47f68864b41c5872abcd132aec514&from=invite-eureakplg-result&content=,
11008,Automotive Competition Is Moving from Hardware Features to Customer Lifecycle Operations,automotive,used,2026-09-09T02:56:49.276567+00:00,2026-09-09T02:56:51.612062+00:00,2026-09-09T02:56:51.612062+00:00,https://eureka.patsnap.com/ai-search/sess_a0c8dfdefb1d488f?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=caf4d6473f5f78a502ea088f67da6961&from=invite-eureakplg-result&content=,
11009,"2026-2030 Electronics Manufacturing Outlook: Recovery, AI Hardware, and Structural Divergence",electronics_manufacturing,used,2026-09-09T02:57:20.084396+00:00,2026-09-09T02:57:22.918288+00:00,2026-09-09T02:57:22.918288+00:00,https://eureka.patsnap.com/ai-search/sess_b4661c4812c3497f?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=7e72bf04f306ea3e118894f881368913&from=invite-eureakplg-result&content=,
11010,"Electronics Supply Chains Are Shifting from Cost Efficiency to Resilience, Compliance, and Speed",electronics_manufacturing,used,2026-09-09T02:57:22.920092+00:00,2026-09-09T02:57:25.273399+00:00,2026-09-09T02:57:25.273399+00:00,https://eureka.patsnap.com/ai-search/sess_c51de4f31c7e475c?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=e375927c9b20ee724d0defc52235e167&from=invite-eureakplg-result&content=,
11011,How AI Devices Are Changing Customer Mix and Order Quality for Electronics Manufacturers,electronics_manufacturing,used,2026-09-09T02:57:25.275262+00:00,2026-09-09T02:57:27.612911+00:00,2026-09-09T02:57:27.612911+00:00,https://eureka.patsnap.com/ai-search/sess_b9b9cec62f344f41?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=6cb2274c9ee6490ad2c0f15c1b9e3403&from=invite-eureakplg-result&content=,
11012,2026-2030 Engineering and Industrial Equipment Outlook: Investment Cycles and Demand Focus,engineering,used,2026-09-09T02:57:35.036924+00:00,2026-09-09T02:57:37.362878+00:00,2026-09-09T02:57:37.362878+00:00,https://eureka.patsnap.com/ai-search/sess_d7383e5d5d9246df?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=eaea4521ff3f773103b6ebf35cf6e142&from=invite-eureakplg-result&content=,
