case_index,title,industry,status,selected_at,used_at,last_run_at,session_url,share_url,error
11000,2026-2030 医疗器械行业增长预判与竞争格局演化,medical_devices,used,2026-09-09T02:06:11.223911+00:00,2026-09-09T02:06:13.645194+00:00,2026-09-09T02:06:13.645194+00:00,https://eureka.patsnap.com/ai-search/sess_b7341c47f78c4e5c?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=f00649eced605bd9e1681bfa3441396f&from=invite-eureakplg-result&content=,
11001,医疗器械企业从单品销售走向平台化服务的行业趋势,medical_devices,used,2026-09-09T02:06:13.646220+00:00,2026-09-09T02:06:16.504843+00:00,2026-09-09T02:06:16.504843+00:00,https://eureka.patsnap.com/ai-search/sess_c3780b15ba084b6c?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=9706b152160d45e15dc6f168fee88ad3&from=invite-eureakplg-result&content=,
11002,全球医疗器械出海、合规与本土化竞争的机会窗口,medical_devices,used,2026-09-09T02:06:16.506012+00:00,2026-09-09T02:06:19.338837+00:00,2026-09-09T02:06:19.338837+00:00,https://eureka.patsnap.com/ai-search/sess_65fc900e6b6e470f?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=5f20cca3ed13f0c4925e14e47377739d&from=invite-eureakplg-result&content=,
11003,2026-2030 新材料行业需求迁移与高价值应用版图,materials,used,2026-09-09T02:06:00.079869+00:00,2026-09-09T02:06:02.757915+00:00,2026-09-09T02:06:02.757915+00:00,https://eureka.patsnap.com/ai-search/sess_93f2de0eaaf649b7?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=6b5ddadafee31018bfeea816bd17a2d2&from=invite-eureakplg-result&content=,
11004,材料企业在供应链安全和客户共创中的新竞争方式,materials,used,2026-09-09T02:06:02.758880+00:00,2026-09-09T02:06:05.314935+00:00,2026-09-09T02:06:05.314935+00:00,https://eureka.patsnap.com/ai-search/sess_dd64a41c425846c4?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=e0f6fa784910866e5f13367f6b92efd9&from=invite-eureakplg-result&content=,
11005,低碳转型下材料行业的成本、认证与品牌溢价机会,materials,used,2026-09-09T02:06:05.315895+00:00,2026-09-09T02:06:11.210283+00:00,2026-09-09T02:06:11.210283+00:00,https://eureka.patsnap.com/ai-search/sess_54177b6c00fc44a9?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=4293e42649defc3d500fdb4832ab4a49&from=invite-eureakplg-result&content=,
11006,2026-2030 汽车行业重估：从销量周期到软件与能源生态竞争,automotive,used,2026-09-09T02:04:41.549360+00:00,2026-09-09T02:04:44.837700+00:00,2026-09-09T02:04:44.837700+00:00,https://eureka.patsnap.com/ai-search/sess_12cfb07cda45488f?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=78626671f148c8c2def93a2d5595826d&from=invite-eureakplg-result&content=,
11007,全球汽车供应链区域化与车企盈利模式变化,automotive,used,2026-09-09T02:04:44.838665+00:00,2026-09-09T02:04:47.927371+00:00,2026-09-09T02:04:47.927371+00:00,https://eureka.patsnap.com/ai-search/sess_556a3392d70f4f2c?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=459d473003c22185e11bc537f2de7ff3&from=invite-eureakplg-result&content=,
11008,汽车行业从硬件配置竞争转向用户生命周期经营,automotive,used,2026-09-09T02:04:47.931244+00:00,2026-09-09T02:04:50.419869+00:00,2026-09-09T02:04:50.419869+00:00,https://eureka.patsnap.com/ai-search/sess_19274a4e7f144da0?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=4aece1eebe676e9b8954ff0351c69967&from=invite-eureakplg-result&content=,
11009,2026-2030 电子制造行业景气复苏与结构性分化展望,electronics_manufacturing,used,2026-09-09T02:05:17.146724+00:00,2026-09-09T02:05:20.128205+00:00,2026-09-09T02:05:20.128205+00:00,https://eureka.patsnap.com/ai-search/sess_c69ee739086f4d1e?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=bb74fce3bd16363f100cccd05c68cde9&from=invite-eureakplg-result&content=,
