case_index,title,industry,status,selected_at,used_at,last_run_at,session_url,share_url,error
11000,2026-2030 Medical Devices Outlook: Growth Drivers and Competitive Reset,medical_devices,used,2026-09-09T02:57:14.976074+00:00,2026-09-09T02:57:17.835723+00:00,2026-09-09T02:57:17.835723+00:00,https://eureka.patsnap.com/ai-search/sess_083067406b1c4932?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=b74b34858ea803c36cba415e979e1ca8&from=invite-eureakplg-result&content=,
11001,From Standalone Devices to Platform Services: How MedTech Business Models Are Shifting,medical_devices,used,2026-09-09T02:57:17.837542+00:00,2026-09-09T02:57:20.278054+00:00,2026-09-09T02:57:20.278054+00:00,https://eureka.patsnap.com/ai-search/sess_c7a7fa8b8f134e13?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=565c2104f00050133f1fe70e76adf822&from=invite-eureakplg-result&content=,
11002,"Global Expansion, Compliance, and Localization: The Next Opportunity Window for MedTech",medical_devices,used,2026-09-09T02:57:20.280759+00:00,2026-09-09T02:57:23.324884+00:00,2026-09-09T02:57:23.324884+00:00,https://eureka.patsnap.com/ai-search/sess_981c407db2ac4fd7?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=7eae4925555a0bc0add4e99fbea2af33&from=invite-eureakplg-result&content=,
11003,2026-2030 Advanced Materials Outlook: Demand Migration and High-Value Applications,materials,used,2026-09-09T02:57:04.663427+00:00,2026-09-09T02:57:08.635599+00:00,2026-09-09T02:57:08.635599+00:00,https://eureka.patsnap.com/ai-search/sess_c4eced17931a4b76?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=51b2245586e8d045e3b8e61b338955ae&from=invite-eureakplg-result&content=,
11004,Supply Security and Customer Co-Development as New Sources of Advantage in Materials,materials,used,2026-09-09T02:57:08.637809+00:00,2026-09-09T02:57:12.011637+00:00,2026-09-09T02:57:12.011637+00:00,https://eureka.patsnap.com/ai-search/sess_8ed9e41a5d1342d1?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=b69bcc787eba45c8068a0611c14838bb&from=invite-eureakplg-result&content=,
11005,"Low-Carbon Transition in Materials: Cost, Certification, and Premium Market Opportunities",materials,used,2026-09-09T02:57:12.012684+00:00,2026-09-09T02:57:14.973975+00:00,2026-09-09T02:57:14.973975+00:00,https://eureka.patsnap.com/ai-search/sess_770abbf8045f4abb?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=892f6151e48758b20ccdd343b725213b&from=invite-eureakplg-result&content=,
11006,2026-2030 Automotive Industry Reset: From Volume Cycles to Software and Energy Ecosystems,automotive,used,2026-09-09T02:55:49.400281+00:00,2026-09-09T02:55:52.061163+00:00,2026-09-09T02:55:52.061163+00:00,https://eureka.patsnap.com/ai-search/sess_2f3ce0535f08425d?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=37b2920a94c51db2949fdf5e98ba45d9&from=invite-eureakplg-result&content=,
11007,Regionalized Automotive Supply Chains and the Evolution of Automaker Profit Models,automotive,used,2026-09-09T02:55:52.062429+00:00,2026-09-09T02:55:54.552352+00:00,2026-09-09T02:55:54.552352+00:00,https://eureka.patsnap.com/ai-search/sess_11016e83cc9e4b66?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=4e27ffa142eed80538bbb13d8562660d&from=invite-eureakplg-result&content=,
11008,Automotive Competition Is Moving from Hardware Features to Customer Lifecycle Operations,automotive,used,2026-09-09T02:55:54.554106+00:00,2026-09-09T02:55:57.339801+00:00,2026-09-09T02:55:57.339801+00:00,https://eureka.patsnap.com/ai-search/sess_69f7e35066d643bb?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=98cc674a55eb187b8cac27417cb3dce5&from=invite-eureakplg-result&content=,
11009,"2026-2030 Electronics Manufacturing Outlook: Recovery, AI Hardware, and Structural Divergence",electronics_manufacturing,used,2026-09-09T02:56:21.166292+00:00,2026-09-09T02:56:24.584549+00:00,2026-09-09T02:56:24.584549+00:00,https://eureka.patsnap.com/ai-search/sess_755f2ce33c2e4f78?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=64703eed02530c2cb88d66bd8266d885&from=invite-eureakplg-result&content=,
11010,"Electronics Supply Chains Are Shifting from Cost Efficiency to Resilience, Compliance, and Speed",electronics_manufacturing,used,2026-09-09T02:56:24.586658+00:00,2026-09-09T02:56:26.900908+00:00,2026-09-09T02:56:26.900908+00:00,https://eureka.patsnap.com/ai-search/sess_28decd6b0f364386?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=83cec289f1c59bb2c2beb620d5e7d000&from=invite-eureakplg-result&content=,
