case_index,batch,scope,title,description,role,industry,industry_label,jtbd,date,sub_industry,sub_industry_label,parent_sub_industry,parent_sub_industry_label,source_industry,content_category,content_category_label,categories,keywords,output,prompt
13000,091010,sub_industry_recommendation,Diagnostic Devices Scout Report: Signals Worth Watching in Medical Devices,"Create a scout report for Diagnostic Devices in the Medical Devices industry, focused on emerging signals, notable players, early adoption patterns, and strategic watch points.",innovation_product_strategy,medical_devices,Medical Devices,"[""track_technologies_and_competitors"", ""identify_innovation_opportunities""]",2026-09-10,"[""diagnostic_devices""]",Diagnostic Devices,,,medical_devices,scout_report,Scout Report,"[""scout_report""]","[""diagnostic devices"", ""medical devices"", ""scout report"", ""innovation signals"", ""recommendation content""]","Write a Scout Report in English for Diagnostic Devices within the Medical Devices industry. Use the content category ""scout_report"". Focus on emerging signals, notable players, early adoption patterns, and strategic watch points. Audience role: innovation_product_strategy. Jobs to be done: track_technologies_and_competitors, identify_innovation_opportunities. Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity.","Write a Scout Report in English for Diagnostic Devices within the Medical Devices industry. Use the content category ""scout_report"". Focus on emerging signals, notable players, early adoption patterns, and strategic watch points. Audience role: innovation_product_strategy. Jobs to be done: track_technologies_and_competitors, identify_innovation_opportunities. Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity."
13001,091010,sub_industry_recommendation,Surgical and Interventional Devices Case: Turning Market Signals into Practical Innovation,"Create a case for Surgical and Interventional Devices in the Medical Devices industry, focused on a practical innovation case pattern, business context, adoption drivers, and what other teams can learn.",innovation_product_strategy,medical_devices,Medical Devices,"[""identify_innovation_opportunities"", ""evaluate_r_and_d_directions""]",2026-09-10,"[""surgical_and_interventional_devices""]",Surgical and Interventional Devices,,,medical_devices,case,Case,"[""case""]","[""surgical and interventional devices"", ""medical devices"", ""case"", ""innovation signals"", ""recommendation content""]","Write a Case in English for Surgical and Interventional Devices within the Medical Devices industry. Use the content category ""case"". Focus on a practical innovation case pattern, business context, adoption drivers, and what other teams can learn. Audience role: innovation_product_strategy. Jobs to be done: identify_innovation_opportunities, evaluate_r_and_d_directions. Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity.","Write a Case in English for Surgical and Interventional Devices within the Medical Devices industry. Use the content category ""case"". Focus on a practical innovation case pattern, business context, adoption drivers, and what other teams can learn. Audience role: innovation_product_strategy. Jobs to be done: identify_innovation_opportunities, evaluate_r_and_d_directions. Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity."
13002,091010,sub_industry_recommendation,"Wearable and Digital Health Devices Market Landscape: Segments, Demand, and Growth Pockets","Create a market landscape for Wearable and Digital Health Devices in the Medical Devices industry, focused on market segments, demand shifts, buyer priorities, growth pockets, and ecosystem structure.",innovation_product_strategy,medical_devices,Medical Devices,"[""track_technologies_and_competitors"", ""identify_innovation_opportunities""]",2026-09-10,"[""wearable_and_digital_health_devices""]",Wearable and Digital Health Devices,,,medical_devices,market_landscape,Market Landscape,"[""market_landscape""]","[""wearable and digital health devices"", ""medical devices"", ""market landscape"", ""innovation signals"", ""recommendation content""]","Write a Market Landscape in English for Wearable and Digital Health Devices within the Medical Devices industry. Use the content category ""market_landscape"". Focus on market segments, demand shifts, buyer priorities, growth pockets, and ecosystem structure. Audience role: innovation_product_strategy. Jobs to be done: track_technologies_and_competitors, identify_innovation_opportunities. Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity.","Write a Market Landscape in English for Wearable and Digital Health Devices within the Medical Devices industry. Use the content category ""market_landscape"". Focus on market segments, demand shifts, buyer priorities, growth pockets, and ecosystem structure. Audience role: innovation_product_strategy. Jobs to be done: track_technologies_and_competitors, identify_innovation_opportunities. Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity."
13003,091010,sub_industry_recommendation,Device Materials and Components Patent Landscape: Where IP Activity Is Concentrating,"Create a patent landscape for Device Materials and Components in the Medical Devices industry, focused on patent activity, assignee clusters, technology white spaces, and IP strategy implications.",innovation_product_strategy,medical_devices,Medical Devices,"[""explore_patent_landscapes"", ""assess_product_ip_risks""]",2026-09-10,"[""device_materials_and_components""]",Device Materials and Components,,,medical_devices,patent_landscape,Patent Landscape,"[""patent_landscape""]","[""device materials and components"", ""medical devices"", ""patent landscape"", ""innovation signals"", ""recommendation content""]","Write a Patent Landscape in English for Device Materials and Components within the Medical Devices industry. Use the content category ""patent_landscape"". Focus on patent activity, assignee clusters, technology white spaces, and IP strategy implications. Audience role: innovation_product_strategy. Jobs to be done: explore_patent_landscapes, assess_product_ip_risks. Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity.","Write a Patent Landscape in English for Device Materials and Components within the Medical Devices industry. Use the content category ""patent_landscape"". Focus on patent activity, assignee clusters, technology white spaces, and IP strategy implications. Audience role: innovation_product_strategy. Jobs to be done: explore_patent_landscapes, assess_product_ip_risks. Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity."
13051,091010,sub_industry_recommendation,"Diagnostic Devices Competitor Analysis: Data, AI, and Workflow Integration","Create a competitor analysis for Diagnostic Devices in the Medical Devices industry, focused on how data, AI, automation, and workflow integration are changing user expectations and product scope.",innovation_product_strategy,medical_devices,Medical Devices,"[""track_technologies_and_competitors"", ""identify_innovation_opportunities""]",2026-09-10,"[""diagnostic_devices""]",Diagnostic Devices,,,medical_devices,competitor_analysis,Competitor Analysis,"[""competitor_analysis""]","[""diagnostic devices"", ""medical devices"", ""competitor analysis"", ""AI workflow"", ""data integration"", ""recommendation content""]","Write a Competitor Analysis in English for Diagnostic Devices within the Medical Devices industry. Title: Diagnostic Devices Competitor Analysis: Data, AI, and Workflow Integration. Use the content category ""competitor_analysis"". Focus on competitor positioning, strategic moves, differentiation levers, partnership patterns, and likely next actions, especially how data, AI, automation, and workflow integration are changing user expectations and product scope. Audience role: innovation_product_strategy. Jobs to be done: track_technologies_and_competitors, identify_innovation_opportunities. Classify the article with industry ""medical_devices"", sub_industry ""diagnostic_devices"", and content_category ""competitor_analysis"". Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity.","Write a Competitor Analysis in English for Diagnostic Devices within the Medical Devices industry. Title: Diagnostic Devices Competitor Analysis: Data, AI, and Workflow Integration. Use the content category ""competitor_analysis"". Focus on competitor positioning, strategic moves, differentiation levers, partnership patterns, and likely next actions, especially how data, AI, automation, and workflow integration are changing user expectations and product scope. Audience role: innovation_product_strategy. Jobs to be done: track_technologies_and_competitors, identify_innovation_opportunities. Classify the article with industry ""medical_devices"", sub_industry ""diagnostic_devices"", and content_category ""competitor_analysis"". Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity."
13052,091010,sub_industry_recommendation,"Surgical and Interventional Devices Opportunity Brief: Quality, Reliability, and Field Performance","Create a opportunity brief for Surgical and Interventional Devices in the Medical Devices industry, focused on where quality, reliability, maintenance, validation, and field evidence influence customer trust.",innovation_product_strategy,medical_devices,Medical Devices,"[""identify_innovation_opportunities"", ""evaluate_r_and_d_directions""]",2026-09-10,"[""surgical_and_interventional_devices""]",Surgical and Interventional Devices,,,medical_devices,opportunity_brief,Opportunity Brief,"[""opportunity_brief""]","[""surgical and interventional devices"", ""medical devices"", ""opportunity brief"", ""quality"", ""reliability"", ""recommendation content""]","Write a Opportunity Brief in English for Surgical and Interventional Devices within the Medical Devices industry. Title: Surgical and Interventional Devices Opportunity Brief: Quality, Reliability, and Field Performance. Use the content category ""opportunity_brief"". Focus on unmet needs, product opportunity spaces, timing signals, commercial fit, and practical next steps, especially where quality, reliability, maintenance, validation, and field evidence influence customer trust. Audience role: innovation_product_strategy. Jobs to be done: identify_innovation_opportunities, evaluate_r_and_d_directions. Classify the article with industry ""medical_devices"", sub_industry ""surgical_and_interventional_devices"", and content_category ""opportunity_brief"". Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity.","Write a Opportunity Brief in English for Surgical and Interventional Devices within the Medical Devices industry. Title: Surgical and Interventional Devices Opportunity Brief: Quality, Reliability, and Field Performance. Use the content category ""opportunity_brief"". Focus on unmet needs, product opportunity spaces, timing signals, commercial fit, and practical next steps, especially where quality, reliability, maintenance, validation, and field evidence influence customer trust. Audience role: innovation_product_strategy. Jobs to be done: identify_innovation_opportunities, evaluate_r_and_d_directions. Classify the article with industry ""medical_devices"", sub_industry ""surgical_and_interventional_devices"", and content_category ""opportunity_brief"". Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity."
13053,091010,sub_industry_recommendation,Wearable and Digital Health Devices Risk Watch: Sustainability and Resource Constraints,"Create a risk watch for Wearable and Digital Health Devices in the Medical Devices industry, focused on how sustainability expectations, resource limits, circularity, and efficiency pressures shape priorities.",in_house_ip_legal,medical_devices,Medical Devices,"[""check_fto_and_design_risks"", ""explore_patent_landscapes""]",2026-09-10,"[""wearable_and_digital_health_devices""]",Wearable and Digital Health Devices,,,medical_devices,risk_watch,Risk Watch,"[""risk_watch""]","[""wearable and digital health devices"", ""medical devices"", ""risk watch"", ""sustainability"", ""resource efficiency"", ""recommendation content""]","Write a Risk Watch in English for Wearable and Digital Health Devices within the Medical Devices industry. Title: Wearable and Digital Health Devices Risk Watch: Sustainability and Resource Constraints. Use the content category ""risk_watch"". Focus on regulatory, FTO, safety, supply, reimbursement, adoption, and commercialization risks, especially how sustainability expectations, resource limits, circularity, and efficiency pressures shape priorities. Audience role: in_house_ip_legal. Jobs to be done: check_fto_and_design_risks, explore_patent_landscapes. Classify the article with industry ""medical_devices"", sub_industry ""wearable_and_digital_health_devices"", and content_category ""risk_watch"". Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity.","Write a Risk Watch in English for Wearable and Digital Health Devices within the Medical Devices industry. Title: Wearable and Digital Health Devices Risk Watch: Sustainability and Resource Constraints. Use the content category ""risk_watch"". Focus on regulatory, FTO, safety, supply, reimbursement, adoption, and commercialization risks, especially how sustainability expectations, resource limits, circularity, and efficiency pressures shape priorities. Audience role: in_house_ip_legal. Jobs to be done: check_fto_and_design_risks, explore_patent_landscapes. Classify the article with industry ""medical_devices"", sub_industry ""wearable_and_digital_health_devices"", and content_category ""risk_watch"". Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity."
13054,091010,sub_industry_recommendation,Device Materials and Components Trend Brief: Regional Market Divergence and Localization,"Create a trend brief for Device Materials and Components in the Medical Devices industry, focused on how regional demand, policy, pricing, and localization strategies are diverging across markets.",innovation_product_strategy,medical_devices,Medical Devices,"[""track_technologies_and_competitors"", ""evaluate_r_and_d_directions""]",2026-09-10,"[""device_materials_and_components""]",Device Materials and Components,,,medical_devices,trend_brief,Trend Brief,"[""trend_brief""]","[""device materials and components"", ""medical devices"", ""trend brief"", ""regional markets"", ""localization"", ""recommendation content""]","Write a Trend Brief in English for Device Materials and Components within the Medical Devices industry. Title: Device Materials and Components Trend Brief: Regional Market Divergence and Localization. Use the content category ""trend_brief"". Focus on 3-5 year direction, adoption drivers, constraints, scenarios, and strategic implications, especially how regional demand, policy, pricing, and localization strategies are diverging across markets. Audience role: innovation_product_strategy. Jobs to be done: track_technologies_and_competitors, evaluate_r_and_d_directions. Classify the article with industry ""medical_devices"", sub_industry ""device_materials_and_components"", and content_category ""trend_brief"". Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity.","Write a Trend Brief in English for Device Materials and Components within the Medical Devices industry. Title: Device Materials and Components Trend Brief: Regional Market Divergence and Localization. Use the content category ""trend_brief"". Focus on 3-5 year direction, adoption drivers, constraints, scenarios, and strategic implications, especially how regional demand, policy, pricing, and localization strategies are diverging across markets. Audience role: innovation_product_strategy. Jobs to be done: track_technologies_and_competitors, evaluate_r_and_d_directions. Classify the article with industry ""medical_devices"", sub_industry ""device_materials_and_components"", and content_category ""trend_brief"". Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity."
13055,091010,sub_industry_recommendation,Diagnostic Devices Patent Landscape: Manufacturing Scale-Up and Operational Readiness,"Create a patent landscape for Diagnostic Devices in the Medical Devices industry, focused on what scale-up, process readiness, qualification, and operational constraints mean for commercialization.",innovation_product_strategy,medical_devices,Medical Devices,"[""explore_patent_landscapes"", ""assess_product_ip_risks""]",2026-09-10,"[""diagnostic_devices""]",Diagnostic Devices,,,medical_devices,patent_landscape,Patent Landscape,"[""patent_landscape""]","[""diagnostic devices"", ""medical devices"", ""patent landscape"", ""manufacturing scale-up"", ""operational readiness"", ""recommendation content""]","Write a Patent Landscape in English for Diagnostic Devices within the Medical Devices industry. Title: Diagnostic Devices Patent Landscape: Manufacturing Scale-Up and Operational Readiness. Use the content category ""patent_landscape"". Focus on patent activity, assignee concentration, technology clusters, white spaces, and IP strategy implications, especially what scale-up, process readiness, qualification, and operational constraints mean for commercialization. Audience role: innovation_product_strategy. Jobs to be done: explore_patent_landscapes, assess_product_ip_risks. Classify the article with industry ""medical_devices"", sub_industry ""diagnostic_devices"", and content_category ""patent_landscape"". Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity.","Write a Patent Landscape in English for Diagnostic Devices within the Medical Devices industry. Title: Diagnostic Devices Patent Landscape: Manufacturing Scale-Up and Operational Readiness. Use the content category ""patent_landscape"". Focus on patent activity, assignee concentration, technology clusters, white spaces, and IP strategy implications, especially what scale-up, process readiness, qualification, and operational constraints mean for commercialization. Audience role: innovation_product_strategy. Jobs to be done: explore_patent_landscapes, assess_product_ip_risks. Classify the article with industry ""medical_devices"", sub_industry ""diagnostic_devices"", and content_category ""patent_landscape"". Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity."
13056,091010,sub_industry_recommendation,Surgical and Interventional Devices Scout Report: White-Space Bets for 2027 Planning,"Create a scout report for Surgical and Interventional Devices in the Medical Devices industry, focused on which underexplored needs and weak signals could become useful product or research bets.",innovation_product_strategy,medical_devices,Medical Devices,"[""track_technologies_and_competitors"", ""identify_innovation_opportunities""]",2026-09-10,"[""surgical_and_interventional_devices""]",Surgical and Interventional Devices,,,medical_devices,scout_report,Scout Report,"[""scout_report""]","[""surgical and interventional devices"", ""medical devices"", ""scout report"", ""white space"", ""2027 planning"", ""recommendation content""]","Write a Scout Report in English for Surgical and Interventional Devices within the Medical Devices industry. Title: Surgical and Interventional Devices Scout Report: White-Space Bets for 2027 Planning. Use the content category ""scout_report"". Focus on early market signals, notable player activity, adoption triggers, and what teams should monitor next, especially which underexplored needs and weak signals could become useful product or research bets. Audience role: innovation_product_strategy. Jobs to be done: track_technologies_and_competitors, identify_innovation_opportunities. Classify the article with industry ""medical_devices"", sub_industry ""surgical_and_interventional_devices"", and content_category ""scout_report"". Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity.","Write a Scout Report in English for Surgical and Interventional Devices within the Medical Devices industry. Title: Surgical and Interventional Devices Scout Report: White-Space Bets for 2027 Planning. Use the content category ""scout_report"". Focus on early market signals, notable player activity, adoption triggers, and what teams should monitor next, especially which underexplored needs and weak signals could become useful product or research bets. Audience role: innovation_product_strategy. Jobs to be done: track_technologies_and_competitors, identify_innovation_opportunities. Classify the article with industry ""medical_devices"", sub_industry ""surgical_and_interventional_devices"", and content_category ""scout_report"". Keep the content practical, specific to the sub-industry, and suitable as a recommended content item for users browsing for inspiration. Include a clear title, brief context, key observations, why it matters, and recommended next actions. Avoid generic industry commentary and avoid deep technical mechanism explanations unless needed for clarity."
