industry,industry_label,parent_sub_industry,parent_sub_industry_label,sub_industry,sub_industry_label,scout_report,case,market_landscape,patent_landscape,competitor_analysis,opportunity_brief,risk_watch,trend_brief,total_generated
medical_devices,Medical Devices,,,device_materials_and_components,Device Materials and Components,2,0,1,1,0,0,0,3,7
medical_devices,Medical Devices,,,diagnostic_devices,Diagnostic Devices,2,0,0,1,3,0,0,0,6
medical_devices,Medical Devices,,,surgical_and_interventional_devices,Surgical and Interventional Devices,1,1,0,0,1,1,0,0,4
medical_devices,Medical Devices,,,wearable_and_digital_health_devices,Wearable and Digital Health Devices,2,1,1,0,1,0,1,0,6
materials,Materials,,,advanced_materials,Advanced Materials,1,1,1,1,2,3,5,1,15
materials,Materials,,,coatings_and_surfaces,Coatings and Surfaces,4,5,1,0,2,0,4,0,16
materials,Materials,,,metals_and_alloys,Metals and Alloys,2,5,1,0,7,0,1,1,17
materials,Materials,,,polymers_and_resins,Polymers and Resins,5,3,0,0,3,2,2,2,17
materials,Materials,,,semiconductor_materials,Semiconductor Materials,1,0,0,0,0,1,0,0,2
automotive,Automotive,,,automotive_manufacturing,Automotive Manufacturing,1,1,0,0,5,0,0,1,8
automotive,Automotive,,,autonomous_and_connected_vehicle,Autonomous and Connected Vehicle,2,3,0,1,0,0,2,0,8
automotive,Automotive,,,ev_and_battery_systems,Ev and Battery Systems,4,1,0,2,1,1,0,0,9
automotive,Automotive,,,vehicle_components,Vehicle Components,11,0,1,0,12,2,0,0,26
electronics_manufacturing,Electronics Manufacturing,,,consumer_electronics_components,Consumer Electronics Components,2,3,0,0,3,0,0,2,10
electronics_manufacturing,Electronics Manufacturing,,,manufacturing_processes,Manufacturing Processes,2,1,0,0,0,0,0,0,3
electronics_manufacturing,Electronics Manufacturing,,,photonics_and_optics,Photonics and Optics,3,4,0,1,2,1,3,0,14
electronics_manufacturing,Electronics Manufacturing,,,semiconductor_and_packaging,Semiconductor and Packaging,11,1,1,0,11,5,4,0,33
engineering,Engineering,,,construction_engineering_overlap,Construction Engineering Overlap,1,1,0,0,1,0,0,0,3
engineering,Engineering,,,industrial_equipment,Industrial Equipment,13,11,1,0,13,3,4,0,45
engineering,Engineering,,,manufacturing_process_engineering,Manufacturing Process Engineering,3,0,0,1,33,1,1,1,40
engineering,Engineering,,,mechanical_systems,Mechanical Systems,16,32,2,1,18,6,6,0,81
biotechnology,Biotechnology,,,bio_based_materials,Bio Based Materials,3,1,0,0,0,0,0,0,4
biotechnology,Biotechnology,,,diagnostics_and_biomarkers,Diagnostics and Biomarkers,0,0,0,0,4,0,0,3,7
biotechnology,Biotechnology,,,drug_discovery,Drug Discovery,8,0,2,0,6,2,0,2,20
biotechnology,Biotechnology,,,synthetic_biology,Synthetic Biology,1,0,0,1,1,0,2,0,5
food,Food,,,food_formulation,Food Formulation,0,2,1,1,0,0,1,0,5
food,Food,,,food_ingredients,Food Ingredients,0,1,1,0,0,1,0,0,3
food,Food,,,food_packaging,Food Packaging,1,2,0,0,2,0,0,0,5
food,Food,,,food_processing,Food Processing,0,6,0,1,1,0,0,1,9
farming_production,Farming Production,,,agri_inputs,Agri Inputs,2,1,0,0,0,0,0,0,3
farming_production,Farming Production,,,crop_science,Crop Science,1,0,1,0,1,3,1,0,7
farming_production,Farming Production,,,livestock_and_animal_health,Livestock and Animal Health,0,0,0,1,0,0,2,0,3
farming_production,Farming Production,,,precision_agriculture,Precision Agriculture,0,0,0,0,1,0,0,2,3
energy,Energy,,,batteries_and_storage,Batteries and Storage,11,3,1,0,3,3,1,0,22
energy,Energy,,,carbon_and_efficiency,Carbon and Efficiency,5,1,0,0,5,0,0,0,11
energy,Energy,,,hydrogen_and_fuel_cells,Hydrogen and Fuel Cells,5,0,1,1,1,0,3,0,11
energy,Energy,,,solar_and_power_electronics,Solar and Power Electronics,0,3,0,1,4,2,1,1,12
chemical,Chemical,,,household_and_personal_care_chemistry,Household and Personal Care Chemistry,2,3,0,0,2,0,0,0,7
chemical,Chemical,,,industrial_formulations,Industrial Formulations,1,0,0,1,1,0,2,0,5
chemical,Chemical,,,polymers_and_additives,Polymers and Additives,0,0,0,0,2,0,0,2,4
chemical,Chemical,,,specialty_chemicals,Specialty Chemicals,24,0,1,0,9,3,7,1,45
construction,Construction,,,building_materials,Building Materials,2,1,1,0,2,2,0,0,8
construction,Construction,,,building_systems,Building Systems,3,1,0,0,1,0,0,0,5
construction,Construction,,,construction_methods,Construction Methods,2,0,0,1,1,1,1,1,7
construction,Construction,,,infrastructure,Infrastructure,0,0,1,1,2,0,1,0,5
other,Other,,,consumer_products,Consumer Products,0,13,0,0,1,0,0,0,14
other,Other,,,general_strategy,General Strategy,7,4,0,0,13,3,0,0,27
other,Other,,,packaging_and_retail,Packaging and Retail,0,1,0,0,4,0,0,0,5
other,Other,consumer_products,Consumer Products,home_appliance,Home Appliance,0,0,0,1,0,1,0,0,2
other,Other,consumer_products,Consumer Products,household_care_products,Household Care Products,0,0,1,0,0,0,0,1,2
other,Other,consumer_products,Consumer Products,personal_care_devices,Personal Care Devices,0,0,0,0,1,0,1,0,2
other,Other,general_strategy,General Strategy,market_research,Market Research,0,0,1,0,0,0,0,1,2
other,Other,packaging_and_retail,Packaging and Retail,consumer_packaging,Consumer Packaging,1,0,0,0,0,1,0,0,2
other,Other,packaging_and_retail,Packaging and Retail,retail_and_ecommerce,Retail and Ecommerce,0,1,0,0,0,0,1,0,2
