dimension,industry,sub_industry,content_category,count
content_category_total,,,scout_report,18
content_category_total,,,case,18
content_category_total,,,market_landscape,18
content_category_total,,,patent_landscape,18
content_category_total,,,competitor_analysis,18
content_category_total,,,opportunity_brief,18
content_category_total,,,risk_watch,18
content_category_total,,,trend_brief,18
industry_total,medical_devices,,,12
industry_total,materials,,,12
industry_total,automotive,,,12
industry_total,electronics_manufacturing,,,12
industry_total,engineering,,,12
industry_total,biotechnology,,,12
industry_total,food,,,12
industry_total,farming_production,,,12
industry_total,energy,,,12
industry_total,chemical,,,12
industry_total,construction,,,12
industry_total,other,,,12
sub_industry_total,medical_devices,diagnostic_devices,,3
sub_industry_total,medical_devices,surgical_and_interventional_devices,,3
sub_industry_total,medical_devices,wearable_and_digital_health_devices,,3
sub_industry_total,medical_devices,device_materials_and_components,,3
sub_industry_total,materials,advanced_materials,,3
sub_industry_total,materials,polymers_and_resins,,3
sub_industry_total,materials,coatings_and_surfaces,,2
sub_industry_total,materials,metals_and_alloys,,2
sub_industry_total,materials,semiconductor_materials,,2
sub_industry_total,automotive,ev_and_battery_systems,,3
sub_industry_total,automotive,vehicle_components,,3
sub_industry_total,automotive,autonomous_and_connected_vehicle,,3
sub_industry_total,automotive,automotive_manufacturing,,3
sub_industry_total,electronics_manufacturing,semiconductor_and_packaging,,3
sub_industry_total,electronics_manufacturing,photonics_and_optics,,3
sub_industry_total,electronics_manufacturing,consumer_electronics_components,,3
sub_industry_total,electronics_manufacturing,manufacturing_processes,,3
sub_industry_total,engineering,industrial_equipment,,3
sub_industry_total,engineering,mechanical_systems,,3
sub_industry_total,engineering,manufacturing_process_engineering,,3
sub_industry_total,engineering,construction_engineering_overlap,,3
sub_industry_total,biotechnology,drug_discovery,,3
sub_industry_total,biotechnology,synthetic_biology,,3
sub_industry_total,biotechnology,diagnostics_and_biomarkers,,3
sub_industry_total,biotechnology,bio_based_materials,,3
sub_industry_total,food,food_ingredients,,3
sub_industry_total,food,food_formulation,,3
sub_industry_total,food,food_processing,,3
sub_industry_total,food,food_packaging,,3
sub_industry_total,farming_production,crop_science,,3
sub_industry_total,farming_production,livestock_and_animal_health,,3
sub_industry_total,farming_production,precision_agriculture,,3
sub_industry_total,farming_production,agri_inputs,,3
sub_industry_total,energy,batteries_and_storage,,3
sub_industry_total,energy,hydrogen_and_fuel_cells,,3
sub_industry_total,energy,solar_and_power_electronics,,3
sub_industry_total,energy,carbon_and_efficiency,,3
sub_industry_total,chemical,specialty_chemicals,,3
sub_industry_total,chemical,industrial_formulations,,3
sub_industry_total,chemical,polymers_and_additives,,3
sub_industry_total,chemical,household_and_personal_care_chemistry,,3
sub_industry_total,construction,building_materials,,3
sub_industry_total,construction,infrastructure,,3
sub_industry_total,construction,construction_methods,,3
sub_industry_total,construction,building_systems,,3
sub_industry_total,other,home_appliance,,2
sub_industry_total,other,personal_care_devices,,2
sub_industry_total,other,household_care_products,,2
sub_industry_total,other,consumer_packaging,,2
sub_industry_total,other,retail_and_ecommerce,,2
