industry,industry_label,source_industry,parent_sub_industry,sub_industry,sub_industry_label,content_category,count
automotive,Automotive,automotive,,automotive_manufacturing,Automotive Manufacturing,competitor_analysis,4
automotive,Automotive,automotive,,automotive_manufacturing,Automotive Manufacturing,scout_report,1
automotive,Automotive,automotive,,autonomous_and_connected_vehicle,Autonomous and Connected Vehicle,case,3
automotive,Automotive,automotive,,autonomous_and_connected_vehicle,Autonomous and Connected Vehicle,risk_watch,1
automotive,Automotive,automotive,,autonomous_and_connected_vehicle,Autonomous and Connected Vehicle,scout_report,1
automotive,Automotive,automotive,,ev_and_battery_systems,Ev and Battery Systems,competitor_analysis,1
automotive,Automotive,automotive,,ev_and_battery_systems,Ev and Battery Systems,opportunity_brief,1
automotive,Automotive,automotive,,ev_and_battery_systems,Ev and Battery Systems,patent_landscape,1
automotive,Automotive,automotive,,ev_and_battery_systems,Ev and Battery Systems,scout_report,3
automotive,Automotive,automotive,,vehicle_components,Vehicle Components,competitor_analysis,11
automotive,Automotive,automotive,,vehicle_components,Vehicle Components,opportunity_brief,1
automotive,Automotive,automotive,,vehicle_components,Vehicle Components,scout_report,11
biotech,Biotechnology,biotechnology,,bio_based_materials,Bio Based Materials,scout_report,1
biotech,Biotechnology,biotechnology,,diagnostics_and_biomarkers,Diagnostics and Biomarkers,competitor_analysis,3
biotech,Biotechnology,biotechnology,,diagnostics_and_biomarkers,Diagnostics and Biomarkers,trend_brief,1
biotech,Biotechnology,biotechnology,,drug_discovery,Drug Discovery,competitor_analysis,6
biotech,Biotechnology,biotechnology,,drug_discovery,Drug Discovery,market_landscape,1
biotech,Biotechnology,biotechnology,,drug_discovery,Drug Discovery,scout_report,8
biotech,Biotechnology,biotechnology,,drug_discovery,Drug Discovery,trend_brief,2
biotech,Biotechnology,biotechnology,,synthetic_biology,Synthetic Biology,competitor_analysis,1
biotech,Biotechnology,biotechnology,,synthetic_biology,Synthetic Biology,scout_report,1
chemical,Chemical,chemical,,household_and_personal_care_chemistry,Household and Personal Care Chemistry,case,2
chemical,Chemical,chemical,,household_and_personal_care_chemistry,Household and Personal Care Chemistry,competitor_analysis,2
chemical,Chemical,chemical,,industrial_formulations,Industrial Formulations,competitor_analysis,1
chemical,Chemical,chemical,,industrial_formulations,Industrial Formulations,scout_report,1
chemical,Chemical,chemical,,polymers_and_additives,Polymers and Additives,competitor_analysis,1
chemical,Chemical,chemical,,specialty_chemicals,Specialty Chemicals,competitor_analysis,9
chemical,Chemical,chemical,,specialty_chemicals,Specialty Chemicals,opportunity_brief,1
chemical,Chemical,chemical,,specialty_chemicals,Specialty Chemicals,risk_watch,7
chemical,Chemical,chemical,,specialty_chemicals,Specialty Chemicals,scout_report,24
chemical,Chemical,chemical,,specialty_chemicals,Specialty Chemicals,trend_brief,1
construction,Construction,construction,,building_materials,Building Materials,competitor_analysis,2
construction,Construction,construction,,building_materials,Building Materials,opportunity_brief,1
construction,Construction,construction,,building_materials,Building Materials,scout_report,2
construction,Construction,construction,,building_systems,Building Systems,scout_report,2
construction,Construction,construction,,construction_methods,Construction Methods,opportunity_brief,1
construction,Construction,construction,,construction_methods,Construction Methods,risk_watch,1
construction,Construction,construction,,construction_methods,Construction Methods,scout_report,2
construction,Construction,construction,,infrastructure,Infrastructure,competitor_analysis,2
electronics_manufacturing,Electronics Manufacturing,electronics_manufacturing,,consumer_electronics_components,Consumer Electronics Components,case,3
electronics_manufacturing,Electronics Manufacturing,electronics_manufacturing,,consumer_electronics_components,Consumer Electronics Components,competitor_analysis,2
