format,row_no,brief_id,title,role,industry,jtbd,execution_status,session_id,session_url,share_status,share_id,share_url,missing_fields,repair_action
html,54,ce98f261-f9e4-4c9e-963d-f9ad05c8d580,Which prior-art fields create the most significant patent risks for software-defined vehicles?,in_house_ip_legal,automotive,"[""prior_art""]",completed,sess_db09b95cd14c4071,https://eureka.patsnap.com/ai-search/sess_db09b95cd14c4071?from=rd-home&start_from=eureka_landingpage,submission_unknown,,,share_url,retry_share_only
html,380,bd7d6dd9-3e1e-4a84-8fe9-d7de92cfceb7,"How do jurisdiction, patent-family coverage, and legal status change FTO risk across engineering markets?",in_house_ip_legal,engineering,"[""fto_design_risks""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,672,af165bf1-2d2b-4a22-bfb0-8c2422ed9f59,What task menu could clarify how maturity is changing across automotive technology fields?,innovation_product_strategy,automotive,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,673,5eeb4ad6-f664-4a63-8cd2-d24645dbbb59,Which research approaches could reveal where technology activity is shifting across the automotive value chain?,innovation_product_strategy,automotive,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,674,b1358277-ec6d-4600-9646-e92649b54f56,What research tasks could compare technology trends across the automotive lifecycle?,innovation_product_strategy,automotive,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,675,35928bb7-3d90-4325-9539-7299522d36df,Which task options would best identify emerging convergence among automotive technology fields?,innovation_product_strategy,automotive,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,676,49629747-f2f9-4c52-b950-29f467dbb734,What research tasks could track shifts in the automotive industry's major systems and enabling technologies?,innovation_product_strategy,automotive,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,677,e257d13d-a6c1-4471-87b2-4c5b59774f57,Which evidence-based research tasks could show how automotive technology priorities are evolving?,innovation_product_strategy,automotive,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,678,3ad9c451-bb02-4081-8b4a-cb1e89628745,"What task menu could distinguish research, commercialization, and adoption signals in automotive technology trends?",innovation_product_strategy,automotive,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,679,8b95856c-4dca-4f18-98c4-e0e25dc7f436,Which research tasks could assess how external pressures are redirecting the automotive technology landscape?,innovation_product_strategy,automotive,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,680,7cf8960f-9785-4a24-929e-b5e012fd2bef,What research tasks would best explore likely next developments and uncertainties in automotive technology?,innovation_product_strategy,automotive,"[""other""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,681,e2820d8f-7ef6-48de-9028-6bf3540cb2b0,How are automotive patent filing trends and technology clusters changing across the industry?,innovation_product_strategy,automotive,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,682,2e2ce246-ada0-4fa5-9096-b943456cea27,"Which automotive technology fields are showing the strongest acceleration, stability, or decline in patent activity?",innovation_product_strategy,automotive,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,683,d3329c8e-85b4-4a8e-b7d7-9b610cae2bfe,How is the landscape of major automotive patent rights holders and new entrants evolving?,innovation_product_strategy,automotive,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,684,4f80290a-93a8-4038-bb06-31d8f1540177,Where is patent activity converging across major automotive technology domains?,innovation_product_strategy,automotive,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
html,685,d13d0ae6-e34e-4445-9af8-6a05ca27ffc8,How is the geographic distribution of automotive patent activity shifting worldwide?,innovation_product_strategy,automotive,"[""patent_landscapes""]",submission_unknown,,,pending,,,session_url|share_url,force_resubmit_unknown
