case_index,title,industry,status,selected_at,used_at,last_run_at,session_url,share_url,error
0,"Bazaarvoice, Inc.",other,used,2026-09-08T09:33:56.508656+00:00,2026-09-08T11:10:40.236877+00:00,2026-09-08T11:10:40.236877+00:00,https://eureka.patsnap.com/ai-search/sess_42b455ca4fee40bf?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=44a3e9fb30ef7d5023cc680dd093086b&from=invite-eureakplg-result&content=,
1,"Jacuzzi, Inc.",other,used,2026-09-08T09:33:56.508661+00:00,2026-09-08T12:00:26.991364+00:00,2026-09-08T12:00:26.991364+00:00,https://eureka.patsnap.com/ai-search/sess_29330c82a0504a1b?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=cf5714cb50c26a422a51caca0e8aae81&from=invite-eureakplg-result&content=,
2,Mohalla Tech Pvt Ltd.,engineering,used,2026-09-08T09:33:56.508552+00:00,2026-09-08T11:10:32.563882+00:00,2026-09-08T11:10:32.563882+00:00,https://eureka.patsnap.com/ai-search/sess_ffac822fe90d474f?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=c45f4a3b2e55770246447a5cf7b157d9&from=invite-eureakplg-result&content=,
3,4titude Ltd.,engineering,used,2026-09-08T09:33:56.508553+00:00,2026-09-08T11:59:40.721558+00:00,2026-09-08T11:59:40.721558+00:00,https://eureka.patsnap.com/ai-search/sess_f0be6383d8274e98?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=87d65070a7a51f45981de9148c74e643&from=invite-eureakplg-result&content=,
4,Yandex LLC,other,used,2026-09-08T09:33:56.508662+00:00,2026-09-08T12:00:28.676603+00:00,2026-09-08T12:00:28.676603+00:00,https://eureka.patsnap.com/ai-search/sess_748ece6bdb994e10?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=d5f07078b8c3daa75e627b458ad9996a&from=invite-eureakplg-result&content=,
5,Google LLC,other,used,2026-09-08T09:33:56.508663+00:00,2026-09-08T12:00:30.721826+00:00,2026-09-08T12:00:30.721826+00:00,https://eureka.patsnap.com/ai-search/sess_78c82c6ae18c4cdc?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=b7adb798aa84074ce4e05fd37e8472de&from=invite-eureakplg-result&content=,
6,List of companies starting with Alphabet J – Discovery,engineering,used,2026-09-08T09:33:56.508554+00:00,2026-09-08T11:59:42.352115+00:00,2026-09-08T11:59:42.352115+00:00,https://eureka.patsnap.com/ai-search/sess_9e0db4b3e9744736?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=af9639da2c9f7138ddd3fe51a5867acc&from=invite-eureakplg-result&content=,
7,"ServiceNow, Inc.",engineering,used,2026-09-08T09:33:56.508556+00:00,2026-09-08T11:59:43.978869+00:00,2026-09-08T11:59:43.978869+00:00,https://eureka.patsnap.com/ai-search/sess_f70ad91b529343c5?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=afbd3fadda36ab420e2a42339af80265&from=invite-eureakplg-result&content=,
8,Dribbble Holdings Ltd.,engineering,used,2026-09-08T09:33:56.508557+00:00,2026-09-08T11:59:45.606266+00:00,2026-09-08T11:59:45.606266+00:00,https://eureka.patsnap.com/ai-search/sess_a85da12cbf064283?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=a614afcaac85d773406ff613e55f479c&from=invite-eureakplg-result&content=,
9,"Shandong Zhuoyue Biotechnology Co., Ltd.",biotech,used,2026-09-08T09:33:56.508392+00:00,2026-09-08T10:52:42.905273+00:00,2026-09-08T10:52:42.905273+00:00,https://eureka.patsnap.com/ai-search/sess_5756191aa54a44ab?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=e9802c26ceac86033401200c14fee6fb&from=invite-eureakplg-result&content=,
10,"IBIDEN Co., Ltd.",materials,used,2026-09-08T09:33:56.508606+00:00,2026-09-08T11:10:37.097958+00:00,2026-09-08T11:10:37.097958+00:00,https://eureka.patsnap.com/ai-search/sess_1fd0b263335d49ad?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=12498b62d6dbf9ddc16fa0e44004ebba&from=invite-eureakplg-result&content=,
11,Atotech Deutschland GmbH & Co. KG,materials,used,2026-09-08T09:33:56.508607+00:00,2026-09-08T12:00:02.226915+00:00,2026-09-08T12:00:02.226915+00:00,https://eureka.patsnap.com/ai-search/sess_513b81d307524ca7?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=41cb21ff9d4b27a4621a057b880e8162&from=invite-eureakplg-result&content=,
