case_index,title,industry,status,selected_at,used_at,last_run_at,session_url,share_url,error
11000,2026-2030 医疗器械行业增长预判与竞争格局演化,medical_devices,used,2026-09-09T02:15:06.280914+00:00,2026-09-09T02:15:08.755108+00:00,2026-09-09T02:15:08.755108+00:00,https://eureka.patsnap.com/ai-search/sess_92d8cbdcd20e41fe?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=22247778a54cd2b5956459ce64ba0e08&from=invite-eureakplg-result&content=,
11001,医疗器械企业从单品销售走向平台化服务的行业趋势,medical_devices,used,2026-09-09T02:15:08.757562+00:00,2026-09-09T02:15:11.195433+00:00,2026-09-09T02:15:11.195433+00:00,https://eureka.patsnap.com/ai-search/sess_38884e5ca7c446d4?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=68b03f12ae5c283952a7d73d7850dfda&from=invite-eureakplg-result&content=,
11002,全球医疗器械出海、合规与本土化竞争的机会窗口,medical_devices,used,2026-09-09T02:15:11.198194+00:00,2026-09-09T02:15:13.654714+00:00,2026-09-09T02:15:13.654714+00:00,https://eureka.patsnap.com/ai-search/sess_ce8f452505bf4009?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=33f073f524ad413a67ee73bbe581f1ee&from=invite-eureakplg-result&content=,
11003,2026-2030 新材料行业需求迁移与高价值应用版图,materials,used,2026-09-09T02:14:57.809311+00:00,2026-09-09T02:15:01.563407+00:00,2026-09-09T02:15:01.563407+00:00,https://eureka.patsnap.com/ai-search/sess_ece8657bccc846ee?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=d49326901fb48e5d1b0a2c913b428576&from=invite-eureakplg-result&content=,
11004,材料企业在供应链安全和客户共创中的新竞争方式,materials,used,2026-09-09T02:15:01.564391+00:00,2026-09-09T02:15:03.956782+00:00,2026-09-09T02:15:03.956782+00:00,https://eureka.patsnap.com/ai-search/sess_efcc9cbefeab41cc?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=ec5eaefa74092042a0dfb717768bbdfc&from=invite-eureakplg-result&content=,
11005,低碳转型下材料行业的成本、认证与品牌溢价机会,materials,used,2026-09-09T02:15:03.959011+00:00,2026-09-09T02:15:06.277806+00:00,2026-09-09T02:15:06.277806+00:00,https://eureka.patsnap.com/ai-search/sess_841f906ac724448d?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=12367f9531440d1cfd966a6e12f4f29b&from=invite-eureakplg-result&content=,
11006,2026-2030 汽车行业重估：从销量周期到软件与能源生态竞争,automotive,used,2026-09-09T02:13:40.417910+00:00,2026-09-09T02:13:43.353642+00:00,2026-09-09T02:13:43.353642+00:00,https://eureka.patsnap.com/ai-search/sess_9d8ece1079a5416e?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=837db3cfca4b0c5a71ffa6acc436eb39&from=invite-eureakplg-result&content=,
11007,全球汽车供应链区域化与车企盈利模式变化,automotive,used,2026-09-09T02:13:43.391888+00:00,2026-09-09T02:13:48.457151+00:00,2026-09-09T02:13:48.457151+00:00,https://eureka.patsnap.com/ai-search/sess_9d04ab07fbc842ca?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=48805270ea13c860a69b75ae1f1a6af1&from=invite-eureakplg-result&content=,
11008,汽车行业从硬件配置竞争转向用户生命周期经营,automotive,used,2026-09-09T02:13:48.458748+00:00,2026-09-09T02:13:51.806856+00:00,2026-09-09T02:13:51.806856+00:00,https://eureka.patsnap.com/ai-search/sess_b93a81e19a6a496e?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=7d027581bacabdeca3f09bcd61884c7a&from=invite-eureakplg-result&content=,
11009,2026-2030 电子制造行业景气复苏与结构性分化展望,electronics_manufacturing,used,2026-09-09T02:14:15.501706+00:00,2026-09-09T02:14:17.980078+00:00,2026-09-09T02:14:17.980078+00:00,https://eureka.patsnap.com/ai-search/sess_b61420921fba447b?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=fd3fe07b9a9db210aad1b10810552a30&from=invite-eureakplg-result&content=,
11010,电子制造供应链从成本效率走向韧性、合规与快速交付,electronics_manufacturing,used,2026-09-09T02:14:17.982112+00:00,2026-09-09T02:14:20.891565+00:00,2026-09-09T02:14:20.891565+00:00,https://eureka.patsnap.com/ai-search/sess_1848e656af394832?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=a746c63484d127c981ce65971e8d00e7&from=invite-eureakplg-result&content=,
11011,AI 终端浪潮下电子制造企业的客户结构和订单质量变化,electronics_manufacturing,used,2026-09-09T02:14:20.894482+00:00,2026-09-09T02:14:23.538772+00:00,2026-09-09T02:14:23.538772+00:00,https://eureka.patsnap.com/ai-search/sess_d76b1be0a4a34d0c?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=985a67763d65a65d8e490b6fd2b16a71&from=invite-eureakplg-result&content=,
11012,2026-2030 工程与工业装备行业的投资周期和需求重心,engineering,used,2026-09-09T02:14:33.530168+00:00,2026-09-09T02:14:35.832921+00:00,2026-09-09T02:14:35.832921+00:00,https://eureka.patsnap.com/ai-search/sess_f596697abf1843c4?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=515d14fbbf4bb4f3586f617f1668d7a6&from=invite-eureakplg-result&content=,
11013,工业客户从采购设备转向采购产能、效率和可靠性,engineering,used,2026-09-09T02:14:35.835716+00:00,2026-09-09T02:14:38.324693+00:00,2026-09-09T02:14:38.324693+00:00,https://eureka.patsnap.com/ai-search/sess_b482f074bfce4274?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=b55190d3ee7783445f5d26795e20ae77&from=invite-eureakplg-result&content=,
11014,全球制造再布局下工程企业的区域机会和竞争门槛,engineering,used,2026-09-09T02:14:38.329053+00:00,2026-09-09T02:14:40.889544+00:00,2026-09-09T02:14:40.889544+00:00,https://eureka.patsnap.com/ai-search/sess_9b0e2dcfdc00409f?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=c49960cdc8c825e3f61891e2e496e956&from=invite-eureakplg-result&content=,
11015,2026-2030 生物技术行业资本回暖与管线价值重估,biotech,used,2026-09-09T02:13:51.808965+00:00,2026-09-09T02:13:54.740410+00:00,2026-09-09T02:13:54.740410+00:00,https://eureka.patsnap.com/ai-search/sess_68b55418432a48f7?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=906033c00806f966b8778797ee05db3f&from=invite-eureakplg-result&content=,
11016,生物技术公司从平台故事走向产品证据和商业化纪律,biotech,used,2026-09-09T02:13:54.741159+00:00,2026-09-09T02:13:57.699196+00:00,2026-09-09T02:13:57.699196+00:00,https://eureka.patsnap.com/ai-search/sess_9d952424a29146dd?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=570fd0d4b5264879c5a55198461cbb9c&from=invite-eureakplg-result&content=,
11017,全球生物技术产业链分工变化与本土创新机会,biotech,used,2026-09-09T02:13:57.700840+00:00,2026-09-09T02:14:00.727794+00:00,2026-09-09T02:14:00.727794+00:00,https://eureka.patsnap.com/ai-search/sess_dc514d8857c14804?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=71a18590fbca94dce9c5d8bf2a9e7580&from=invite-eureakplg-result&content=,
11018,2026-2030 食品行业消费分层、健康化与价值重构,food_farming_production,used,2026-09-09T02:14:49.956738+00:00,2026-09-09T02:14:52.242109+00:00,2026-09-09T02:14:52.242109+00:00,https://eureka.patsnap.com/ai-search/sess_27448837af804023?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=9115a761941adbbab7ac1161807b3283&from=invite-eureakplg-result&content=,
