case_index,title,industry,status,selected_at,used_at,last_run_at,session_url,share_url,isCompleted,completionStatus,completionError,error
12000,MedTech Demand in the Era of Capacity-Constrained Health Systems,medical_devices,used,2026-09-09T08:31:26.256069+00:00,2026-09-09T08:31:27.857749+00:00,2026-09-09T08:31:27.857749+00:00,https://eureka.patsnap.com/ai-search/sess_479eb1acef4b4b0b?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=89862e2321206193ebf66c501e990bb3&from=invite-eureakplg-result&content=,,,,
12001,The New MedTech Buyer: From Clinical Preference to Enterprise Value Committees,medical_devices,used,2026-09-09T08:31:27.860815+00:00,2026-09-09T08:31:29.655578+00:00,2026-09-09T08:31:29.655578+00:00,https://eureka.patsnap.com/ai-search/sess_33ed79c9cf6e49a5?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=c6b8ff2cf9efdfbdfb5b2a0c33d163ee&from=invite-eureakplg-result&content=,,,,
12002,"Home, Retail, and Ambulatory Care as the Next MedTech Growth Frontier",medical_devices,used,2026-09-09T08:31:29.658677+00:00,2026-09-09T08:31:33.528145+00:00,2026-09-09T08:31:33.528145+00:00,https://eureka.patsnap.com/ai-search/sess_40859240f56c4eb7?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=8175b69a9567feb635768b606cf00ec7&from=invite-eureakplg-result&content=,,,,
12003,"Cybersecurity, Software Maintenance, and Trust as MedTech Boardroom Issues",medical_devices,used,2026-09-09T08:31:33.531685+00:00,2026-09-09T08:31:40.315444+00:00,2026-09-09T08:31:40.315444+00:00,https://eureka.patsnap.com/ai-search/sess_4752a9238da04190?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=68972bdc67de3ce3ffbc27d7edfa4791&from=invite-eureakplg-result&content=,,,,
12004,"Global MedTech Localization: Market Access, Evidence, and Supply Footprint Choices",medical_devices,used,2026-09-09T08:31:40.318670+00:00,2026-09-09T08:31:41.735456+00:00,2026-09-09T08:31:41.735456+00:00,https://eureka.patsnap.com/ai-search/sess_7100894fd2774cb9?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=7c8b803ec5d9ea4edf9de36d44a6e3c5&from=invite-eureakplg-result&content=,,,,
12005,MedTech Platforms and Installed-Base Economics Beyond Hardware Sales,medical_devices,used,2026-09-09T08:31:41.739918+00:00,2026-09-09T08:31:43.153698+00:00,2026-09-09T08:31:43.153698+00:00,https://eureka.patsnap.com/ai-search/sess_aab836c49e0f4cdd?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=0481ce53bda4f9416a01b96a81aafc7d&from=invite-eureakplg-result&content=,,,,
12006,Aging Populations and Chronic Care: The Next Portfolio Test for MedTech,medical_devices,used,2026-09-09T08:31:43.156578+00:00,2026-09-09T08:31:44.658006+00:00,2026-09-09T08:31:44.658006+00:00,https://eureka.patsnap.com/ai-search/sess_0d2f6b5d14c741ee?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=ae83d752f2aa72646f68cb7bb70c877a&from=invite-eureakplg-result&content=,,,,
12007,Reimbursement Volatility and the MedTech Innovation Pipeline,medical_devices,used,2026-09-09T08:31:44.659693+00:00,2026-09-09T08:31:46.005747+00:00,2026-09-09T08:31:46.005747+00:00,https://eureka.patsnap.com/ai-search/sess_8e60630787834f52?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=5ece2a98d6aa151764a37a6fcbf5b03e&from=invite-eureakplg-result&content=,,,,
12008,Surgical and Imaging Segments: Premium Growth in a Cost-Disciplined Market,medical_devices,used,2026-09-09T08:31:46.007320+00:00,2026-09-09T08:31:47.599859+00:00,2026-09-09T08:31:47.599859+00:00,https://eureka.patsnap.com/ai-search/sess_42c44ade8d774e34?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=798809f65505bcd40cf0fa6b65b19cc5&from=invite-eureakplg-result&content=,,,,
12009,"MedTech Partnerships with Providers, Payers, and Digital Health Firms",medical_devices,used,2026-09-09T08:31:47.601584+00:00,2026-09-09T08:31:49.229206+00:00,2026-09-09T08:31:49.229206+00:00,https://eureka.patsnap.com/ai-search/sess_d1cafa95ffc94948?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=45c93ef22d3a57932ccc2ce406271ac4&from=invite-eureakplg-result&content=,,,,
12010,Advanced Materials Demand Migration: From Volume Markets to Mission-Critical Applications,materials,used,2026-09-09T08:31:05.238087+00:00,2026-09-09T08:31:06.629283+00:00,2026-09-09T08:31:06.629283+00:00,https://eureka.patsnap.com/ai-search/sess_e2c021223d604cd4?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=d64829b2d5f8dea1ad963d38dd32fdbf&from=invite-eureakplg-result&content=,,,,
12011,"Critical Minerals, Substitution, and the New Materials Security Agenda",materials,used,2026-09-09T08:31:06.632135+00:00,2026-09-09T08:31:08.037489+00:00,2026-09-09T08:31:08.037489+00:00,https://eureka.patsnap.com/ai-search/sess_c741f7839d9c4771?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=76f3ba746f38f2897cd9a26ef8166022&from=invite-eureakplg-result&content=,,,,
12012,"Materials for AI Infrastructure: Power, Cooling, Packaging, and Reliability Demand",materials,used,2026-09-09T08:31:08.040666+00:00,2026-09-09T08:31:11.629581+00:00,2026-09-09T08:31:11.629581+00:00,https://eureka.patsnap.com/ai-search/sess_9f40ee9241dd4a58?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=5c4624ac09a9e68c01de120a185deb34&from=invite-eureakplg-result&content=,,,,
12013,Circular Materials and Carbon Data as Customer Qualification Requirements,materials,used,2026-09-09T08:31:11.631463+00:00,2026-09-09T08:31:13.469583+00:00,2026-09-09T08:31:13.469583+00:00,https://eureka.patsnap.com/ai-search/sess_1f90197201c342ec?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=6da295120a8beb7c1391f0c03b05bdf0&from=invite-eureakplg-result&content=,,,,
12014,Customer Co-Development and Long Qualification Cycles as Competitive Moats,materials,used,2026-09-09T08:31:13.473213+00:00,2026-09-09T08:31:19.070806+00:00,2026-09-09T08:31:19.070806+00:00,https://eureka.patsnap.com/ai-search/sess_d9387de894794697?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=8ee8fe32ab560fdc94cef7e77fe2ec3b&from=invite-eureakplg-result&content=,,,,
12015,Low-Carbon Construction Materials: From Compliance Burden to Growth Segment,materials,used,2026-09-09T08:31:19.072957+00:00,2026-09-09T08:31:20.584962+00:00,2026-09-09T08:31:20.584962+00:00,https://eureka.patsnap.com/ai-search/sess_3dbc411fb8e747e6?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=ef2beb7bc52ce8d5d2e3cc15f53cc182&from=invite-eureakplg-result&content=,,,,
12016,Mobility Lightweighting and Battery Materials After the EV Growth Reset,materials,used,2026-09-09T08:31:20.587949+00:00,2026-09-09T08:31:22.066626+00:00,2026-09-09T08:31:22.066626+00:00,https://eureka.patsnap.com/ai-search/sess_11201b877eac4cc2?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=57c3bf116c549c7940c2726e5a07adf3&from=invite-eureakplg-result&content=,,,,
12017,Regionalized Materials Supply Chains and Trade Policy Exposure,materials,used,2026-09-09T08:31:22.068775+00:00,2026-09-09T08:31:23.454885+00:00,2026-09-09T08:31:23.454885+00:00,https://eureka.patsnap.com/ai-search/sess_386c148b3ac84757?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=6a6513afa457858d686e7c2f73ad08d1&from=invite-eureakplg-result&content=,,,,
12018,Sustainable Packaging Materials Under Regulation and Retail Pressure,materials,used,2026-09-09T08:31:23.458320+00:00,2026-09-09T08:31:24.744653+00:00,2026-09-09T08:31:24.744653+00:00,https://eureka.patsnap.com/ai-search/sess_e5d0595c535e482d?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=516dfcfe4a42c38d2fe4ab1ac506b4fc&from=invite-eureakplg-result&content=,,,,
12019,From Commodity Inputs to Application-Specific Materials Platforms,materials,used,2026-09-09T08:31:24.745999+00:00,2026-09-09T08:31:26.253440+00:00,2026-09-09T08:31:26.253440+00:00,https://eureka.patsnap.com/ai-search/sess_4c8d455ab05a4cc6?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=d5c3437be3e179ab3eec1448484d310d&from=invite-eureakplg-result&content=,,,,
12020,Automotive Affordability Reset: What Buyers Will Value from 2026 to 2030,automotive,used,2026-09-09T08:28:33.054833+00:00,2026-09-09T08:28:37.558080+00:00,2026-09-09T08:28:37.558080+00:00,https://eureka.patsnap.com/ai-search/sess_d0fa19a5f4f149e0?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=f5db3218d496d85b84e026281620e2c3&from=invite-eureakplg-result&content=,,,,
12021,"Regional Auto Markets Diverge: China, Europe, North America, and Emerging Economies",automotive,used,2026-09-09T08:28:37.561447+00:00,2026-09-09T08:28:38.841974+00:00,2026-09-09T08:28:38.841974+00:00,https://eureka.patsnap.com/ai-search/sess_3964cffe87cb43f2?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=184f875a1be90b412f472650585d7910&from=invite-eureakplg-result&content=,,,,
12022,"Hybrid, EV, and ICE Portfolio Flexibility as a Strategic Advantage",automotive,used,2026-09-09T08:28:38.843499+00:00,2026-09-09T08:28:40.170092+00:00,2026-09-09T08:28:40.170092+00:00,https://eureka.patsnap.com/ai-search/sess_ba30d1f5a2c64fde?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=0c0578b00f88f90b59a57d50622af430&from=invite-eureakplg-result&content=,,,,
12023,"Software-Defined Vehicles: Monetization, Trust, and Customer Backlash Risks",automotive,used,2026-09-09T08:28:40.171806+00:00,2026-09-09T08:28:41.528224+00:00,2026-09-09T08:28:41.528224+00:00,https://eureka.patsnap.com/ai-search/sess_3cfd3a9c0aff499b?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=b2f0e3a0366b7041fad4672ce8746c01&from=invite-eureakplg-result&content=,,,,
12024,"Automotive Supply Chains After Just-in-Time: Batteries, Chips, and Local Content",automotive,used,2026-09-09T08:28:41.532682+00:00,2026-09-09T08:28:42.885883+00:00,2026-09-09T08:28:42.885883+00:00,https://eureka.patsnap.com/ai-search/sess_6c58770cee714191?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=f76498ed294d41c7db58cb01587a649a&from=invite-eureakplg-result&content=,,,,
12025,Fleet Electrification and Commercial Vehicles as the Pragmatic EV Growth Path,automotive,used,2026-09-09T08:28:42.891555+00:00,2026-09-09T08:28:44.559381+00:00,2026-09-09T08:28:44.559381+00:00,https://eureka.patsnap.com/ai-search/sess_57c5a4720ef24ab4?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=3742e49410ded5b829c1af590a56a5a4&from=invite-eureakplg-result&content=,,,,
12026,"Vehicle Lifecycle Economics: Used Cars, Batteries, Repair, and Residual Value",automotive,used,2026-09-09T08:28:44.561923+00:00,2026-09-09T08:28:45.938528+00:00,2026-09-09T08:28:45.938528+00:00,https://eureka.patsnap.com/ai-search/sess_76a7ab28116b4569?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=6b7d3cc62f05705ac69d9c748e7c7d4e&from=invite-eureakplg-result&content=,,,,
12027,Automaker Margin Pressure in a Price-War and Incentive-Heavy Market,automotive,used,2026-09-09T08:28:45.940144+00:00,2026-09-09T08:28:47.388961+00:00,2026-09-09T08:28:47.388961+00:00,https://eureka.patsnap.com/ai-search/sess_9fdb5de5a11c4c2e?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=ac67e27c09d6b81981e8a5d54df4955d&from=invite-eureakplg-result&content=,,,,
12028,"Charging, Energy Services, and the Expanding Auto Ecosystem",automotive,used,2026-09-09T08:28:47.390629+00:00,2026-09-09T08:28:48.742643+00:00,2026-09-09T08:28:48.742643+00:00,https://eureka.patsnap.com/ai-search/sess_4d303a518a4341be?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=0a04091f7711a3a9827d26caf08f42ba&from=invite-eureakplg-result&content=,,,,
12029,Brand Loyalty in the Connected Vehicle Era,automotive,used,2026-09-09T08:28:48.744933+00:00,2026-09-09T08:28:50.080995+00:00,2026-09-09T08:28:50.080995+00:00,https://eureka.patsnap.com/ai-search/sess_9bff54f375f14903?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=f9efae51459e8467a5f25892370d2ee3&from=invite-eureakplg-result&content=,,,,
