case_index,title,industry,status,selected_at,used_at,last_run_at,session_url,share_url,isCompleted,completionStatus,completionError,error
12000,MedTech Demand in the Era of Capacity-Constrained Health Systems,medical_devices,used,2026-09-09T13:44:26.092200+00:00,2026-09-09T13:44:29.345314+00:00,2026-09-09T13:44:29.345314+00:00,https://eureka.patsnap.com/ai-search/sess_f3d8cafb5ece4742?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=0c542aea5dd7063ef2660cdd642748cc&from=invite-eureakplg-result&content=,,,,
12001,The New MedTech Buyer: From Clinical Preference to Enterprise Value Committees,medical_devices,used,2026-09-09T13:44:29.347573+00:00,2026-09-09T13:44:32.439202+00:00,2026-09-09T13:44:32.439202+00:00,https://eureka.patsnap.com/ai-search/sess_fb0480906f794163?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=7a6b61434e9196e28f865b187ada76bc&from=invite-eureakplg-result&content=,,,,
12002,"Home, Retail, and Ambulatory Care as the Next MedTech Growth Frontier",medical_devices,used,2026-09-09T13:44:32.442024+00:00,2026-09-09T13:44:36.410982+00:00,2026-09-09T13:44:36.410982+00:00,https://eureka.patsnap.com/ai-search/sess_5f1f3d052dc24d8e?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=ea05a787417e873f5d4c5501bd6b6172&from=invite-eureakplg-result&content=,,,,
12003,"Cybersecurity, Software Maintenance, and Trust as MedTech Boardroom Issues",medical_devices,used,2026-09-09T13:44:36.412894+00:00,2026-09-09T13:44:39.281732+00:00,2026-09-09T13:44:39.281732+00:00,https://eureka.patsnap.com/ai-search/sess_fbb853308a3e4ab4?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=4f5fbf77b3b24db38bfa8ce8fbd3177e&from=invite-eureakplg-result&content=,,,,
12010,Advanced Materials Demand Migration: From Volume Markets to Mission-Critical Applications,materials,used,2026-09-09T13:44:13.029188+00:00,2026-09-09T13:44:17.536435+00:00,2026-09-09T13:44:17.536435+00:00,https://eureka.patsnap.com/ai-search/sess_2d42d5995ffe4a7e?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=1fdc3e8159ddf609b3a7df6e423571ef&from=invite-eureakplg-result&content=,,,,
12011,"Critical Minerals, Substitution, and the New Materials Security Agenda",materials,used,2026-09-09T13:44:17.538936+00:00,2026-09-09T13:44:20.673826+00:00,2026-09-09T13:44:20.673826+00:00,https://eureka.patsnap.com/ai-search/sess_96637eb6b70c4968?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=4386443b31b78964f8836ca348e3abc4&from=invite-eureakplg-result&content=,,,,
12012,"Materials for AI Infrastructure: Power, Cooling, Packaging, and Reliability Demand",materials,used,2026-09-09T13:44:20.676319+00:00,2026-09-09T13:44:23.648523+00:00,2026-09-09T13:44:23.648523+00:00,https://eureka.patsnap.com/ai-search/sess_4943e8ef150c4a63?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=f96ad4d52a1c8ebc833f161deccb4af5&from=invite-eureakplg-result&content=,,,,
12013,Circular Materials and Carbon Data as Customer Qualification Requirements,materials,used,2026-09-09T13:44:23.650687+00:00,2026-09-09T13:44:26.089356+00:00,2026-09-09T13:44:26.089356+00:00,https://eureka.patsnap.com/ai-search/sess_34aabae5afad4eb8?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=9c83724b921ce90a8b1b657f4e17353c&from=invite-eureakplg-result&content=,,,,
12020,Automotive Affordability Reset: What Buyers Will Value from 2026 to 2030,automotive,used,2026-09-09T13:41:57.440041+00:00,2026-09-09T13:42:01.593744+00:00,2026-09-09T13:42:01.593744+00:00,https://eureka.patsnap.com/ai-search/sess_fee238a11aa54243?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=312da69f04acdb43ff453df79edfb48c&from=invite-eureakplg-result&content=,,,,
12021,"Regional Auto Markets Diverge: China, Europe, North America, and Emerging Economies",automotive,used,2026-09-09T13:42:01.595669+00:00,2026-09-09T13:42:07.404827+00:00,2026-09-09T13:42:07.404827+00:00,https://eureka.patsnap.com/ai-search/sess_3b8acf2056e740d9?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=70d192cfed4b257b5ede47bfaf048768&from=invite-eureakplg-result&content=,,,,
12022,"Hybrid, EV, and ICE Portfolio Flexibility as a Strategic Advantage",automotive,used,2026-09-09T13:42:07.407383+00:00,2026-09-09T13:42:10.289826+00:00,2026-09-09T13:42:10.289826+00:00,https://eureka.patsnap.com/ai-search/sess_2e847a74e4f34ae9?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=2f63f5ca352e1d2b5fc64aec73d6bf6c&from=invite-eureakplg-result&content=,,,,
12023,"Software-Defined Vehicles: Monetization, Trust, and Customer Backlash Risks",automotive,used,2026-09-09T13:42:10.291585+00:00,2026-09-09T13:42:13.491152+00:00,2026-09-09T13:42:13.491152+00:00,https://eureka.patsnap.com/ai-search/sess_150947f486b445c8?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=85300b21d92c178caee5704a633b1e57&from=invite-eureakplg-result&content=,,,,
12030,Electronics Manufacturing in the AI Infrastructure Boom,electronics_manufacturing,used,2026-09-09T13:42:53.167311+00:00,2026-09-09T13:42:58.263373+00:00,2026-09-09T13:42:58.263373+00:00,https://eureka.patsnap.com/ai-search/sess_15108ab6787b40a9?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=135f0b137cde7dbe657fe7f8108e5337&from=invite-eureakplg-result&content=,,,,
12031,"Memory, Advanced Packaging, and Supply Allocation Risks for Electronics OEMs",electronics_manufacturing,used,2026-09-09T13:42:58.265214+00:00,2026-09-09T13:43:01.666428+00:00,2026-09-09T13:43:01.666428+00:00,https://eureka.patsnap.com/ai-search/sess_c402c1654855488c?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=6f6bc3940f455a923e55034aee878144&from=invite-eureakplg-result&content=,,,,
12032,Geopatriation and Compliance-Driven Footprint Redesign in Electronics,electronics_manufacturing,used,2026-09-09T13:43:01.670455+00:00,2026-09-09T13:43:04.536830+00:00,2026-09-09T13:43:04.536830+00:00,https://eureka.patsnap.com/ai-search/sess_682fe106c4aa46ad?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=6fb74798a06aa1f6fc7e38739eaa044a&from=invite-eureakplg-result&content=,,,,
12033,AI PCs and Edge Devices: Replacement Cycle or Short-Lived Upgrade Wave,electronics_manufacturing,used,2026-09-09T13:43:04.538595+00:00,2026-09-09T13:43:07.461557+00:00,2026-09-09T13:43:07.461557+00:00,https://eureka.patsnap.com/ai-search/sess_d2e487234ab04bd9?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=15568f7df8a780f426163f23c31386a1&from=invite-eureakplg-result&content=,,,,
12040,Engineering Services and Industrial Firms in the Physical AI Era,engineering,used,2026-09-09T13:43:22.761956+00:00,2026-09-09T13:43:25.271358+00:00,2026-09-09T13:43:25.271358+00:00,https://eureka.patsnap.com/ai-search/sess_73c2d52f5a7a40d0?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=e63a4d6b2bc4aeb2632d3c053b048a32&from=invite-eureakplg-result&content=,,,,
12041,Engineering Workforce Shortages and the Productivity Mandate,engineering,used,2026-09-09T13:43:25.277484+00:00,2026-09-09T13:43:29.279680+00:00,2026-09-09T13:43:29.279680+00:00,https://eureka.patsnap.com/ai-search/sess_53eb0f6ed14a41c5?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=6acf84c198a9a662ce931d1c24d11dc4&from=invite-eureakplg-result&content=,,,,
12042,Aftermarket and Service Models for Industrial Equipment Companies,engineering,used,2026-09-09T13:43:29.288121+00:00,2026-09-09T13:43:34.878346+00:00,2026-09-09T13:43:34.878346+00:00,https://eureka.patsnap.com/ai-search/sess_78c3a94ec3d24749?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=c6626191f8ad4ab855841b8fc6ac9efb&from=invite-eureakplg-result&content=,,,,
12043,Industrial Capex Volatility and Project Delivery Risk,engineering,used,2026-09-09T13:43:34.881714+00:00,2026-09-09T13:43:39.480147+00:00,2026-09-09T13:43:39.480147+00:00,https://eureka.patsnap.com/ai-search/sess_fa229b0598c44085?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=f49beda2190869460bf2432d719bf8ea&from=invite-eureakplg-result&content=,,,,
12050,Biotech Funding Selectivity and the Return of Portfolio Discipline,biotech,used,2026-09-09T13:42:13.492191+00:00,2026-09-09T13:42:16.570256+00:00,2026-09-09T13:42:16.570256+00:00,https://eureka.patsnap.com/ai-search/sess_402e10f065d844ea?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=bb623c09051aec709605b7a178cf2ab3&from=invite-eureakplg-result&content=,,,,
12051,AI-Native Discovery: Productivity Promise Meets Evidence and ROI Pressure,biotech,used,2026-09-09T13:42:16.571329+00:00,2026-09-09T13:42:20.048189+00:00,2026-09-09T13:42:20.048189+00:00,https://eureka.patsnap.com/ai-search/sess_474fd2c9c6ac46c1?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=308e8755deb94d31b8f0814b00f5bc3d&from=invite-eureakplg-result&content=,,,,
12052,Therapeutic Area Rotation Beyond Oncology,biotech,used,2026-09-09T13:42:20.050292+00:00,2026-09-09T13:42:22.692269+00:00,2026-09-09T13:42:22.692269+00:00,https://eureka.patsnap.com/ai-search/sess_3bf9ae7b15ba49b0?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=3bf03625855c9da253e4710a547cb45e&from=invite-eureakplg-result&content=,,,,
12053,"Patent Cliffs, Biosimilars, and Biotech Partnering Power",biotech,used,2026-09-09T13:42:22.693853+00:00,2026-09-09T13:42:27.220085+00:00,2026-09-09T13:42:27.220085+00:00,https://eureka.patsnap.com/ai-search/sess_77889ffb6c8e40d0?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=de654af2969334f7197e6a466326d085&from=invite-eureakplg-result&content=,,,,
12060,Food Portfolios After the Wellness and Affordability Collision,food_farming_production,used,2026-09-09T13:43:56.752434+00:00,2026-09-09T13:43:59.852919+00:00,2026-09-09T13:43:59.852919+00:00,https://eureka.patsnap.com/ai-search/sess_01d42338801a4b98?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=ce19c6536c152f6ab0bdb124ef9919d8&from=invite-eureakplg-result&content=,,,,
12061,GLP-1 Adoption and the Changing Demand Map for Food Companies,food_farming_production,used,2026-09-09T13:43:59.855817+00:00,2026-09-09T13:44:04.909196+00:00,2026-09-09T13:44:04.909196+00:00,https://eureka.patsnap.com/ai-search/sess_7b249c41c51445af?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=8047d03d6b374096a652c953f9759c74&from=invite-eureakplg-result&content=,,,,
12062,"Protein Transition 2.0: From Novelty to Taste, Cost, and Supply Reliability",food_farming_production,used,2026-09-09T13:44:04.912515+00:00,2026-09-09T13:44:09.013457+00:00,2026-09-09T13:44:09.013457+00:00,https://eureka.patsnap.com/ai-search/sess_7c4a0f12527f4725?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=4cde5128d65d9d22c827c2a9548ad77e&from=invite-eureakplg-result&content=,,,,
12063,Ultra-Processed Food Scrutiny and the Next Labeling Debate,food_farming_production,used,2026-09-09T13:44:09.014806+00:00,2026-09-09T13:44:13.026763+00:00,2026-09-09T13:44:13.026763+00:00,https://eureka.patsnap.com/ai-search/sess_6f167bf446194401?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=29ce9eacfb07b62918b308a3049067b2&from=invite-eureakplg-result&content=,,,,
