input,generated_prompt,session_url,share_url,format,isCompleted,completionStatus,completionError,title,categories,keywords,description,role,industry,jtbd,date,sub_industry
"Bazaarvoice, Inc.","Write a Competitor Analysis report in English for ""Bazaarvoice, Inc."". Classify it as industry ""other"", sub_industry [""general_strategy""], and content_category ""competitor_analysis"". The user role is innovation and product strategy leader; the jobs to be done are track technologies and competitors. Use these keywords as anchors: Bazaarvoice, Inc, social media, software, saas, technical research, patent portfolio, competitor monitoring, and market trends. Focus on company positioning, product and technology bets, patent signals, partnerships, and competitive risks. Include a clear title, concise executive summary, company snapshot, product and technology direction, patent/IP signals, competitive moves, risks, and watch points. Make it practical, specific, and suitable as recommended content for users browsing for inspiration. Cover technology, product, market, IP, risk, opportunity, and follow-up research angles where relevant. Avoid generic filler and avoid deep technical mechanism explanations unless needed for clarity.",https://eureka.patsnap.com/ai-search/sess_9a40b020422f4c48?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=8bf9eeec411cedd3ebd38ef1816e9cc0&from=invite-eureakplg-result&content=,report,,,,"Bazaarvoice, Inc.","[""competitor_analysis""]","[""Bazaarvoice, Inc"", ""social media"", ""software"", ""saas"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","A competitor analysis on Bazaarvoice, Inc. for Other / General Strategy, focused on company positioning, product and technology bets, patent signals, partnerships, and competitive risks around Bazaarvoice, Inc, social media, software, saas, and technical research.",innovation_product_strategy,other,"[""technology_competitors""]",2026-09-08,"[""general_strategy""]"
"Jacuzzi, Inc.","Write a Competitor Analysis report in English for ""Jacuzzi, Inc."". Classify it as industry ""other"", sub_industry [""consumer_products""], and content_category ""competitor_analysis"". The user role is innovation and product strategy leader; the jobs to be done are track technologies and competitors. Use these keywords as anchors: Jacuzzi, Inc, shower systems, spa products, towel, technical research, patent portfolio, competitor monitoring, and market trends. Focus on company positioning, product and technology bets, patent signals, partnerships, and competitive risks. Include a clear title, concise executive summary, company snapshot, product and technology direction, patent/IP signals, competitive moves, risks, and watch points. Make it practical, specific, and suitable as recommended content for users browsing for inspiration. Cover technology, product, market, IP, risk, opportunity, and follow-up research angles where relevant. Avoid generic filler and avoid deep technical mechanism explanations unless needed for clarity.",https://eureka.patsnap.com/ai-search/sess_f94ef54a3a584e59?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=e8714d45973496948114633a9074fc31&from=invite-eureakplg-result&content=,report,,,,"Jacuzzi, Inc.","[""competitor_analysis""]","[""Jacuzzi, Inc"", ""shower systems"", ""spa products"", ""towel"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","A competitor analysis on Jacuzzi, Inc. for Other / Consumer Products, focused on company positioning, product and technology bets, patent signals, partnerships, and competitive risks around Jacuzzi, Inc, shower systems, spa products, towel, and technical research.",innovation_product_strategy,other,"[""technology_competitors""]",2026-09-08,"[""consumer_products""]"
Mohalla Tech Pvt Ltd.,"Write a Competitor Analysis report in English for ""Mohalla Tech Pvt Ltd."". Classify it as industry ""engineering"", sub_industry [""mechanical_systems""], and content_category ""competitor_analysis"". The user role is innovation and product strategy leader; the jobs to be done are track technologies and competitors. Use these keywords as anchors: Mohalla Tech Pvt Ltd, technical research, patent portfolio, competitor monitoring, and market trends. Focus on company positioning, product and technology bets, patent signals, partnerships, and competitive risks. Include a clear title, concise executive summary, company snapshot, product and technology direction, patent/IP signals, competitive moves, risks, and watch points. Make it practical, specific, and suitable as recommended content for users browsing for inspiration. Cover technology, product, market, IP, risk, opportunity, and follow-up research angles where relevant. Avoid generic filler and avoid deep technical mechanism explanations unless needed for clarity.",https://eureka.patsnap.com/ai-search/sess_9d494cf6c5614e27?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=034f4e94e8557976dc8bfb9ae0fce458&from=invite-eureakplg-result&content=,report,,,,Mohalla Tech Pvt Ltd.,"[""competitor_analysis""]","[""Mohalla Tech Pvt Ltd"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","A competitor analysis on Mohalla Tech Pvt Ltd. for Engineering / Mechanical Systems, focused on company positioning, product and technology bets, patent signals, partnerships, and competitive risks around Mohalla Tech Pvt Ltd, technical research, patent portfolio, competitor monitoring, and market trends.",innovation_product_strategy,engineering,"[""technology_competitors""]",2026-09-08,"[""mechanical_systems""]"
4titude Ltd.,"Write a Competitor Analysis report in English for ""4titude Ltd."". Classify it as industry ""engineering"", sub_industry [""manufacturing_process_engineering""], and content_category ""competitor_analysis"". The user role is innovation and product strategy leader; the jobs to be done are track technologies and competitors. Use these keywords as anchors: 4titude Ltd, technical research, patent portfolio, competitor monitoring, and market trends. Focus on company positioning, product and technology bets, patent signals, partnerships, and competitive risks. Include a clear title, concise executive summary, company snapshot, product and technology direction, patent/IP signals, competitive moves, risks, and watch points. Make it practical, specific, and suitable as recommended content for users browsing for inspiration. Cover technology, product, market, IP, risk, opportunity, and follow-up research angles where relevant. Avoid generic filler and avoid deep technical mechanism explanations unless needed for clarity.",https://eureka.patsnap.com/ai-search/sess_068f3efc09dd438b?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=91d98ca4dbc7a6ccd2ca7e7c7289324f&from=invite-eureakplg-result&content=,report,,,,4titude Ltd.,"[""competitor_analysis""]","[""4titude Ltd"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","A competitor analysis on 4titude Ltd. for Engineering / Manufacturing Process Engineering, focused on company positioning, product and technology bets, patent signals, partnerships, and competitive risks around 4titude Ltd, technical research, patent portfolio, competitor monitoring, and market trends.",innovation_product_strategy,engineering,"[""technology_competitors""]",2026-09-08,"[""manufacturing_process_engineering""]"
Yandex LLC,"Write a Competitor Analysis report in English for ""Yandex LLC"". Classify it as industry ""other"", sub_industry [""packaging_and_retail""], and content_category ""competitor_analysis"". The user role is innovation and product strategy leader; the jobs to be done are track technologies and competitors. Use these keywords as anchors: Yandex LLC, ecommerce, technical research, patent portfolio, competitor monitoring, and market trends. Focus on company positioning, product and technology bets, patent signals, partnerships, and competitive risks. Include a clear title, concise executive summary, company snapshot, product and technology direction, patent/IP signals, competitive moves, risks, and watch points. Make it practical, specific, and suitable as recommended content for users browsing for inspiration. Cover technology, product, market, IP, risk, opportunity, and follow-up research angles where relevant. Avoid generic filler and avoid deep technical mechanism explanations unless needed for clarity.",https://eureka.patsnap.com/ai-search/sess_4063cb38aefb465d?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=8ffb11475ad108e4803b2f3ae3fa455d&from=invite-eureakplg-result&content=,report,,,,Yandex LLC,"[""competitor_analysis""]","[""Yandex LLC"", ""ecommerce"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","A competitor analysis on Yandex LLC for Other / Packaging and Retail, focused on company positioning, product and technology bets, patent signals, partnerships, and competitive risks around Yandex LLC, ecommerce, technical research, patent portfolio, and competitor monitoring.",innovation_product_strategy,other,"[""technology_competitors""]",2026-09-08,"[""packaging_and_retail""]"
Google LLC,"Write a Competitor Analysis report in English for ""Google LLC"". Classify it as industry ""other"", sub_industry [""packaging_and_retail""], and content_category ""competitor_analysis"". The user role is innovation and product strategy leader; the jobs to be done are track technologies and competitors. Use these keywords as anchors: Google LLC, artificial intelligence, e-commerce, smart home, computer, software, engine, and email. Focus on company positioning, product and technology bets, patent signals, partnerships, and competitive risks. Include a clear title, concise executive summary, company snapshot, product and technology direction, patent/IP signals, competitive moves, risks, and watch points. Make it practical, specific, and suitable as recommended content for users browsing for inspiration. Cover technology, product, market, IP, risk, opportunity, and follow-up research angles where relevant. Avoid generic filler and avoid deep technical mechanism explanations unless needed for clarity.",https://eureka.patsnap.com/ai-search/sess_d080b3cc74e0460e?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=052617f874832ef8e105aa29e0ce30e4&from=invite-eureakplg-result&content=,report,,,,Google LLC,"[""competitor_analysis""]","[""Google LLC"", ""artificial intelligence"", ""e-commerce"", ""smart home"", ""computer"", ""software"", ""engine"", ""email"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","A competitor analysis on Google LLC for Other / Packaging and Retail, focused on company positioning, product and technology bets, patent signals, partnerships, and competitive risks around Google LLC, artificial intelligence, e-commerce, smart home, and computer.",innovation_product_strategy,other,"[""technology_competitors""]",2026-09-08,"[""packaging_and_retail""]"
List of companies starting with Alphabet J – Discovery,"Write a Market Landscape report in English for ""List of companies starting with Alphabet J – Discovery"". Classify it as industry ""engineering"", sub_industry [""mechanical_systems""], and content_category ""market_landscape"". The user role is innovation and product strategy leader; the jobs to be done are track technologies and competitors. Use these keywords as anchors: List of companies starting with Alphabet J – Discovery, technical research, patent portfolio, competitor monitoring, and market trends. Focus on market segments, demand shifts, buyer priorities, growth pockets, and ecosystem structure. Include a clear title, concise executive summary, market structure, customer needs, competitive landscape, demand shifts, and growth opportunities. Make it practical, specific, and suitable as recommended content for users browsing for inspiration. Cover technology, product, market, IP, risk, opportunity, and follow-up research angles where relevant. Avoid generic filler and avoid deep technical mechanism explanations unless needed for clarity.",https://eureka.patsnap.com/ai-search/sess_02cc9271aada4c64?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=55cde2bb60ace83d930d5468a0eecd4e&from=invite-eureakplg-result&content=,report,,,,List of companies starting with Alphabet J – Discovery,"[""market_landscape""]","[""List of companies starting with Alphabet J – Discovery"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","A market landscape on List of companies starting with Alphabet J – Discovery for Engineering / Mechanical Systems, focused on market segments, demand shifts, buyer priorities, growth pockets, and ecosystem structure around List of companies starting with Alphabet J – Discovery, technical research, patent portfolio, competitor monitoring, and market trends.",innovation_product_strategy,engineering,"[""technology_competitors""]",2026-09-08,"[""mechanical_systems""]"
"ServiceNow, Inc.","Write a Competitor Analysis report in English for ""ServiceNow, Inc."". Classify it as industry ""engineering"", sub_industry [""mechanical_systems""], and content_category ""competitor_analysis"". The user role is innovation and product strategy leader; the jobs to be done are track technologies and competitors. Use these keywords as anchors: ServiceNow, Inc, technical research, patent portfolio, competitor monitoring, and market trends. Focus on company positioning, product and technology bets, patent signals, partnerships, and competitive risks. Include a clear title, concise executive summary, company snapshot, product and technology direction, patent/IP signals, competitive moves, risks, and watch points. Make it practical, specific, and suitable as recommended content for users browsing for inspiration. Cover technology, product, market, IP, risk, opportunity, and follow-up research angles where relevant. Avoid generic filler and avoid deep technical mechanism explanations unless needed for clarity.",https://eureka.patsnap.com/ai-search/sess_6d2d63f428a040cd?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=c55e9d367d59212f2a61d9a03a2a2cfe&from=invite-eureakplg-result&content=,report,,,,"ServiceNow, Inc.","[""competitor_analysis""]","[""ServiceNow, Inc"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","A competitor analysis on ServiceNow, Inc. for Engineering / Mechanical Systems, focused on company positioning, product and technology bets, patent signals, partnerships, and competitive risks around ServiceNow, Inc, technical research, patent portfolio, competitor monitoring, and market trends.",innovation_product_strategy,engineering,"[""technology_competitors""]",2026-09-08,"[""mechanical_systems""]"
Dribbble Holdings Ltd.,"Write a Competitor Analysis report in English for ""Dribbble Holdings Ltd."". Classify it as industry ""engineering"", sub_industry [""mechanical_systems""], and content_category ""competitor_analysis"". The user role is innovation and product strategy leader; the jobs to be done are track technologies and competitors. Use these keywords as anchors: Dribbble Holdings Ltd, technical research, patent portfolio, competitor monitoring, and market trends. Focus on company positioning, product and technology bets, patent signals, partnerships, and competitive risks. Include a clear title, concise executive summary, company snapshot, product and technology direction, patent/IP signals, competitive moves, risks, and watch points. Make it practical, specific, and suitable as recommended content for users browsing for inspiration. Cover technology, product, market, IP, risk, opportunity, and follow-up research angles where relevant. Avoid generic filler and avoid deep technical mechanism explanations unless needed for clarity.",https://eureka.patsnap.com/ai-search/sess_ee72d5c46667449f?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=1e46f397d800836bec5a7c8c4aaf0c66&from=invite-eureakplg-result&content=,report,,,,Dribbble Holdings Ltd.,"[""competitor_analysis""]","[""Dribbble Holdings Ltd"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","A competitor analysis on Dribbble Holdings Ltd. for Engineering / Mechanical Systems, focused on company positioning, product and technology bets, patent signals, partnerships, and competitive risks around Dribbble Holdings Ltd, technical research, patent portfolio, competitor monitoring, and market trends.",innovation_product_strategy,engineering,"[""technology_competitors""]",2026-09-08,"[""mechanical_systems""]"
"Shandong Zhuoyue Biotechnology Co., Ltd.","Write a Competitor Analysis report in English for ""Shandong Zhuoyue Biotechnology Co., Ltd."". Classify it as industry ""biotech"", sub_industry [""diagnostics_and_biomarkers""], and content_category ""competitor_analysis"". The user role is innovation and product strategy leader; the jobs to be done are track technologies and competitors. Use these keywords as anchors: Shandong Zhuoyue Biotechnology Co., Ltd, biotechnology, clinical laboratory, computer, software, technical research, patent portfolio, and competitor monitoring. Focus on company positioning, product and technology bets, patent signals, partnerships, and competitive risks. Include a clear title, concise executive summary, company snapshot, product and technology direction, patent/IP signals, competitive moves, risks, and watch points. Make it practical, specific, and suitable as recommended content for users browsing for inspiration. Cover technology, product, market, IP, risk, opportunity, and follow-up research angles where relevant. Avoid generic filler and avoid deep technical mechanism explanations unless needed for clarity.",https://eureka.patsnap.com/ai-search/sess_fb435d5e2dbf4d9b?from=rd-home&start_from=eureka_landingpage,https://eureka.patsnap.com/share/?id=67a64c2331ffeda41795783cb0f6f059&from=invite-eureakplg-result&content=,report,,,,"Shandong Zhuoyue Biotechnology Co., Ltd.","[""competitor_analysis""]","[""Shandong Zhuoyue Biotechnology Co., Ltd"", ""biotechnology"", ""clinical laboratory"", ""computer"", ""software"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","A competitor analysis on Shandong Zhuoyue Biotechnology Co., Ltd. for Biotechnology / Diagnostics and Biomarkers, focused on company positioning, product and technology bets, patent signals, partnerships, and competitive risks around Shandong Zhuoyue Biotechnology Co., Ltd, biotechnology, clinical laboratory, computer, and software.",innovation_product_strategy,biotech,"[""technology_competitors""]",2026-09-08,"[""diagnostics_and_biomarkers""]"
