input,generated_prompt,session_url,share_url,title,categories,keywords,description,role,industry,jtbd,date,sub_industry
,"请据《Bazaarvoice, Inc.》生成结构化报告。分类:competitor_analysis；对象:innovation_product_strategy；行业:other/general_strategy；任务:track_technologies_and_competitors；关键词:Bazaarvoice, Inc、social media、software、saas、technical research。概述:本文概述Bazaarvoice, Inc.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。须含标题、摘要、结论、背景、技术/产品/市场/IP、风险机会、可落地建议、未来研究。",,,"Bazaarvoice, Inc.","[""competitor_analysis""]","[""Bazaarvoice, Inc"", ""social media"", ""software"", ""saas"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","本文概述Bazaarvoice, Inc.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。",innovation_product_strategy,other,"[""track_technologies_and_competitors""]",2026-09-08,"[""general_strategy""]"
,"请据《Jacuzzi, Inc.》生成结构化报告。分类:competitor_analysis；对象:innovation_product_strategy；行业:other/consumer_products；任务:track_technologies_and_competitors；关键词:Jacuzzi, Inc、shower systems、spa products、towel、technical research。概述:本文概述Jacuzzi, Inc.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。须含标题、摘要、结论、背景、技术/产品/市场/IP、风险机会、可落地建议、未来研究。",,,"Jacuzzi, Inc.","[""competitor_analysis""]","[""Jacuzzi, Inc"", ""shower systems"", ""spa products"", ""towel"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","本文概述Jacuzzi, Inc.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。",innovation_product_strategy,other,"[""track_technologies_and_competitors""]",2026-09-08,"[""consumer_products""]"
,请据《Mohalla Tech Pvt Ltd.》生成结构化报告。分类:competitor_analysis；对象:innovation_product_strategy；行业:engineering/mechanical_systems；任务:track_technologies_and_competitors；关键词:Mohalla Tech Pvt Ltd、technical research、patent portfolio、competitor monitoring、market trends。概述:本文概述Mohalla Tech Pvt Ltd.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。须含标题、摘要、结论、背景、技术/产品/市场/IP、风险机会、可落地建议、未来研究。,,,Mohalla Tech Pvt Ltd.,"[""competitor_analysis""]","[""Mohalla Tech Pvt Ltd"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]",本文概述Mohalla Tech Pvt Ltd.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。,innovation_product_strategy,engineering,"[""track_technologies_and_competitors""]",2026-09-08,"[""mechanical_systems""]"
,"请据《Bazaarvoice, Inc.》生成结构化报告。分类:competitor_analysis；对象:innovation_product_strategy；行业:other/general_strategy；任务:track_technologies_and_competitors；关键词:Bazaarvoice, Inc、social media、software、saas、technical research。概述:本文概述Bazaarvoice, Inc.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。须含标题、摘要、结论、背景、技术/产品/市场/IP、风险机会、可落地建议、未来研究。",,,"Bazaarvoice, Inc.","[""competitor_analysis""]","[""Bazaarvoice, Inc"", ""social media"", ""software"", ""saas"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","本文概述Bazaarvoice, Inc.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。",innovation_product_strategy,other,"[""track_technologies_and_competitors""]",2026-09-08,"[""general_strategy""]"
,"请据《Jacuzzi, Inc.》生成结构化报告。分类:competitor_analysis；对象:innovation_product_strategy；行业:other/consumer_products；任务:track_technologies_and_competitors；关键词:Jacuzzi, Inc、shower systems、spa products、towel、technical research。概述:本文概述Jacuzzi, Inc.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。须含标题、摘要、结论、背景、技术/产品/市场/IP、风险机会、可落地建议、未来研究。",,,"Jacuzzi, Inc.","[""competitor_analysis""]","[""Jacuzzi, Inc"", ""shower systems"", ""spa products"", ""towel"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","本文概述Jacuzzi, Inc.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。",innovation_product_strategy,other,"[""track_technologies_and_competitors""]",2026-09-08,"[""consumer_products""]"
,请据《Mohalla Tech Pvt Ltd.》生成结构化报告。分类:competitor_analysis；对象:innovation_product_strategy；行业:engineering/mechanical_systems；任务:track_technologies_and_competitors；关键词:Mohalla Tech Pvt Ltd、technical research、patent portfolio、competitor monitoring、market trends。概述:本文概述Mohalla Tech Pvt Ltd.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。须含标题、摘要、结论、背景、技术/产品/市场/IP、风险机会、可落地建议、未来研究。,,,Mohalla Tech Pvt Ltd.,"[""competitor_analysis""]","[""Mohalla Tech Pvt Ltd"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]",本文概述Mohalla Tech Pvt Ltd.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。,innovation_product_strategy,engineering,"[""track_technologies_and_competitors""]",2026-09-08,"[""mechanical_systems""]"
,"请据《Bazaarvoice, Inc.》生成结构化报告。分类:competitor_analysis；对象:innovation_product_strategy；行业:other/general_strategy；任务:track_technologies_and_competitors；关键词:Bazaarvoice, Inc、social media、software、saas、technical research。概述:本文概述Bazaarvoice, Inc.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。须含标题、摘要、结论、背景、技术/产品/市场/IP、风险机会、可落地建议、未来研究。",,,"Bazaarvoice, Inc.","[""competitor_analysis""]","[""Bazaarvoice, Inc"", ""social media"", ""software"", ""saas"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","本文概述Bazaarvoice, Inc.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。",innovation_product_strategy,other,"[""track_technologies_and_competitors""]",2026-09-08,"[""general_strategy""]"
,"请据《Bazaarvoice, Inc.》生成结构化报告。分类:competitor_analysis；对象:innovation_product_strategy；行业:other/general_strategy；任务:track_technologies_and_competitors；关键词:Bazaarvoice, Inc、social media、software、saas、technical research。概述:本文概述Bazaarvoice, Inc.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。须含标题、摘要、结论、背景、技术/产品/市场/IP、风险机会、可落地建议、未来研究。",,,"Bazaarvoice, Inc.","[""competitor_analysis""]","[""Bazaarvoice, Inc"", ""social media"", ""software"", ""saas"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","本文概述Bazaarvoice, Inc.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。",innovation_product_strategy,other,"[""track_technologies_and_competitors""]",2026-09-08,"[""general_strategy""]"
,"请据《Jacuzzi, Inc.》生成结构化报告。分类:competitor_analysis；对象:innovation_product_strategy；行业:other/consumer_products；任务:track_technologies_and_competitors；关键词:Jacuzzi, Inc、shower systems、spa products、towel、technical research。概述:本文概述Jacuzzi, Inc.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。须含标题、摘要、结论、背景、技术/产品/市场/IP、风险机会、可落地建议、未来研究。",,,"Jacuzzi, Inc.","[""competitor_analysis""]","[""Jacuzzi, Inc"", ""shower systems"", ""spa products"", ""towel"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]","本文概述Jacuzzi, Inc.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。",innovation_product_strategy,other,"[""track_technologies_and_competitors""]",2026-09-08,"[""consumer_products""]"
,请据《Mohalla Tech Pvt Ltd.》生成结构化报告。分类:competitor_analysis；对象:innovation_product_strategy；行业:engineering/mechanical_systems；任务:track_technologies_and_competitors；关键词:Mohalla Tech Pvt Ltd、technical research、patent portfolio、competitor monitoring、market trends。概述:本文概述Mohalla Tech Pvt Ltd.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。须含标题、摘要、结论、背景、技术/产品/市场/IP、风险机会、可落地建议、未来研究。,,,Mohalla Tech Pvt Ltd.,"[""competitor_analysis""]","[""Mohalla Tech Pvt Ltd"", ""technical research"", ""patent portfolio"", ""competitor monitoring"", ""market trends""]",本文概述Mohalla Tech Pvt Ltd.的业务与技术研发，并涵盖专利组合、竞争动态及市场趋势，可用于竞品跟踪和研发/IP决策。,innovation_product_strategy,engineering,"[""track_technologies_and_competitors""]",2026-09-08,"[""mechanical_systems""]"
